"dog_id","survey_year","mm_jr_date","mm_jr_location","mm_jr_location_description","mm_jr_number_practice_jog_trials","mm_jr_jog_trial_1_outcome","mm_jr_jog_trial_1_time_seconds","mm_jr_jog_trial_1_problems","mm_jr_jog_trial_2_outcome","mm_jr_jog_trial_2_time_seconds","mm_jr_jog_trial_2_problems","mm_jr_jog_trial_3_outcome","mm_jr_jog_trial_3_time_seconds","mm_jr_jog_trial_3_problems","mm_jr_jog_trials_motivation_treat","mm_jr_jog_trials_motivation_toy","mm_jr_jog_trials_motivation_verbal","mm_jr_jog_trials_motivation_clapping","mm_jr_jog_trials_motivation_none","mm_jr_jog_trials_motivation_other","mm_jr_jog_trials_motivation_other_description","mm_jr_number_practice_run_trials","mm_jr_run_trial_1_outcome","mm_jr_run_trial_1_time_seconds","mm_jr_run_trial_1_problems","mm_jr_run_trial_2_outcome","mm_jr_run_trial_2_time_seconds","mm_jr_run_trial_2_problems","mm_jr_run_trial_3_outcome","mm_jr_run_trial_3_time_seconds","mm_jr_run_trial_3_problems","mm_jr_run_trials_motivation_treat","mm_jr_run_trials_motivation_toy","mm_jr_run_trials_motivation_verbal","mm_jr_run_trials_motivation_clapping","mm_jr_run_trials_motivation_none","mm_jr_run_trials_motivation_other","mm_jr_run_trials_motivation_other_description"
249,"annual_2023","2023-05-17",1,"in my back yard",3,1,"3.75",NA,1,"3.73",NA,1,"3.78",NA,0,0,1,0,0,0,NA,4,1,"1.60",NA,1,"1.60",NA,1,"1.60",NA,0,0,0,0,0,1,"chasing me"
273,"annual_2022","2022-07-25",0,"Empty dog park at Mill at Broadway",1,1,"2.09",NA,1,"2.56",NA,1,"2.35",NA,0,0,1,0,0,0,NA,1,1,"2.44",NA,1,"2.28",NA,1,"2.11",NA,0,0,1,0,0,0,NA
273,"annual_2023","2023-05-06",1,"A fenced in dog park that is empty",3,1,"2.0",NA,1,"2.1",NA,1,"1.8",NA,0,0,1,0,0,0,NA,3,1,"2.0",NA,1,"1.8",NA,1,"2.1",NA,1,0,1,0,0,0,NA
294,"annual_2023","2023-04-14",0,"In my back yard.",3,1,"7.02",NA,1,"8.11",NA,1,"6.31",NA,1,0,0,0,0,0,NA,3,1,"2.51",NA,1,"2.46",NA,1,"2.53",NA,0,1,0,0,0,0,NA
310,"annual_2022","2022-07-03",1,"Hallway inside house",2,1,"7.8",NA,1,"6.9",NA,1,"7.4",NA,0,0,0,1,0,0,NA,2,1,"6.3",NA,1,"5.4",NA,1,"5.8",NA,1,0,0,0,0,0,NA
438,"annual_2022","2022-06-23",1,"Son's grassy back yard",4,1,"4.54",NA,1,"5.34",NA,1,"5.02",NA,1,0,1,0,0,0,NA,3,1,"2.07",NA,1,"2.41",NA,1,"2.15",NA,1,0,1,1,0,0,NA
469,"annual_2022","2022-07-11",1,"airport on grass",3,1,"4.60",NA,1,"4.18",NA,1,"3.97",NA,1,0,0,0,0,0,NA,1,1,"1.92",NA,1,"2.58",NA,0,NA,"timer screwed up",0,0,1,0,0,0,NA
487,"annual_2022","2022-07-03",0,"Indoor hallway, bricks",2,1,"5.08",NA,1,"5.55",NA,1,"5.13",NA,1,0,0,0,0,0,NA,2,1,"2.81",NA,1,"1.88",NA,1,"2.53",NA,1,0,0,0,0,0,NA
508,"annual_2022","2022-07-09",0,"In my fenced yard",3,1,"4.08",NA,1,"3.65",NA,1,"3.67",NA,0,0,1,0,0,0,NA,3,1,"1.97",NA,1,"2.18",NA,1,"2.08",NA,0,0,1,0,0,0,NA
560,"annual_2022","2022-06-25",1,"flat driveway made of crushed stone",2,1,"6.49",NA,1,"6.88",NA,1,"6.69",NA,1,0,0,0,0,0,NA,2,1,"7.28",NA,1,"5.15",NA,1,"6.25",NA,1,0,0,0,0,0,NA
579,"annual_2023","2023-06-05",1,"My backyard: grass",2,1,"5.25",NA,1,"5.38",NA,1,"5.10",NA,1,0,1,0,0,0,NA,2,1,"3.18",NA,1,"2.51",NA,1,"3.21",NA,1,0,1,0,0,0,NA
606,"annual_2022","2022-07-17",0,"Concrete driveway next to our house",2,1,"4.39",NA,1,"4.03",NA,1,"3.95",NA,0,0,1,0,0,0,NA,1,1,"2.22",NA,1,"2.15",NA,1,"2.20",NA,0,0,1,0,0,0,NA
662,"annual_2022","2022-06-09",0,"In my yard on grass",4,1,"5.22",NA,1,"5.20",NA,1,"4.95",NA,0,0,0,0,1,0,NA,3,1,"2.12",NA,1,"2.09",NA,1,"2.22",NA,0,0,1,0,0,1,"Gave recall command: ""Come!"""
695,"annual_2022","2022-07-12",0,"Unpaved dead end road, crushed compacted cinder and grass.",1,1,"4.55",NA,1,"3.96",NA,1,"4.66",NA,0,0,1,0,0,0,NA,1,1,"2.25",NA,1,"2.10",NA,1,"1.88",NA,0,1,1,0,0,0,NA
695,"annual_2023","2023-05-04",1,"Unpaved dead end road, crushed compacted cinder and grass.",2,1,"5.08",NA,1,"4.03",NA,1,"3.50",NA,1,0,0,0,0,0,NA,3,0,NA,"Rufus's jogging and running speed are essentially the same. Without the leash, Rufus was distracted and wandered. We tried both treats and a ball as a motivator.",0,NA,"Rufus's jogging and running speed are essentially the same. Without the leash, Rufus was distracted and wandered. We tried both treats and a ball as a motivator.",0,NA,"Rufus's jogging and running speed are essentially the same. Without the leash, Rufus was distracted and wandered. We tried both treats and a ball as a motivator.",1,1,0,0,0,0,NA
713,"annual_2022","2022-07-02",0,"East Texas beach",2,1,"3.18",NA,1,"3.88",NA,1,"3.85",NA,0,0,1,0,0,0,NA,1,1,"3.36",NA,1,"3.44",NA,1,"2.64",NA,0,0,1,0,0,0,NA
713,"annual_2023","2023-05-29",0,"parking lot",2,1,"2.78",NA,1,"2.83",NA,1,"2.44",NA,0,0,1,1,0,0,NA,1,1,"2.78",NA,1,"2.78",NA,1,"2.44",NA,0,0,1,0,0,1,"called him to the Timer"
744,"annual_2023","2023-05-22",1,"outside in my fenced backyard and on grass",1,1,"3.51",NA,1,"3.63",NA,1,"3.55",NA,0,0,1,0,0,0,NA,1,1,"2.29",NA,1,"2.40",NA,1,"2.32",NA,1,0,1,0,0,0,NA
752,"annual_2022","2022-06-05",1,"In the yard",5,1,"2.89",NA,1,"3.02",NA,1,"2.75",NA,0,1,0,0,0,0,NA,5,1,"3.25",NA,1,"2.89",NA,1,"2.75",NA,0,1,0,0,0,0,NA
760,"annual_2022","2022-07-24",0,"in my yard, grass",1,1,"3.33",NA,1,"3.79",NA,1,"3.52",NA,0,0,1,0,0,0,NA,1,1,"2.85",NA,1,"2.15",NA,1,"2.08",NA,1,0,0,0,0,0,NA
760,"annual_2023","2023-04-23",1,"in my yard",2,1,"4.10",NA,1,"4.55",NA,1,"4.16",NA,0,0,1,0,0,0,NA,1,1,"2.20",NA,1,"2.16",NA,1,"2.11",NA,0,0,1,0,0,0,NA
792,"annual_2022","2022-07-10",0,"Side of Mom's House from Side Gate to Past End of House",3,1,"4.75",NA,1,"4.55",NA,1,"4.50",NA,1,0,1,0,0,0,NA,2,1,"2.88",NA,1,"3.41",NA,1,"2.87",NA,1,0,1,0,0,0,NA
801,"annual_2023","2023-05-06",0,"back yard",1,1,"7.67",NA,1,"6.95",NA,1,"7.65",NA,0,0,1,0,0,0,NA,1,1,"2.83",NA,1,"2.82",NA,1,"2.76",NA,1,0,0,0,0,0,NA
853,"annual_2022","2022-07-09",0,"Gary's house on grass",3,1,"3.56",NA,1,"3.58",NA,1,"3.57",NA,1,0,1,0,0,0,NA,5,1,"1.36",NA,1,"1.38",NA,1,"1.38",NA,0,1,1,0,0,0,NA
942,"annual_2022","2022-06-14",0,"Outside in our driveway (pavers) within a fenced yard.",3,1,"1.67",NA,1,"1.64",NA,0,NA,"The incentive (a tennis ball) went off course.",0,1,0,0,0,0,NA,1,1,"1.55",NA,0,NA,"I did not run a second time.",0,NA,"I didn't run a second time.",0,1,0,0,0,0,NA
942,"annual_2023","2023-05-07",1,"driveway outside my house - pavers",1,1,"4.86",NA,1,"4.82",NA,1,"3.78",NA,1,0,1,0,0,0,NA,1,1,"2.50",NA,1,"2.52",NA,1,"2.00",NA,1,0,1,0,0,0,NA
981,"annual_2022","2022-07-18",0,"Grass back yard",3,1,"2.94",NA,1,"3.04",NA,1,"2.88",NA,0,0,1,0,0,0,NA,3,1,"1.61",NA,1,"1.82",NA,1,"1.73",NA,1,0,0,0,0,0,NA
981,"annual_2023","2023-05-10",1,"My back yard",3,1,"2.93",NA,1,"2.09",NA,1,"2.12",NA,0,0,1,0,0,0,NA,2,1,"1.25",NA,1,"1.15",NA,1,"1.21",NA,0,0,1,0,0,0,NA
1059,"annual_2022","2022-07-07",0,"blacktop driveway",2,1,"5.84",NA,1,"5.48",NA,1,"5.02",NA,1,0,0,0,0,0,NA,3,1,"6.85",NA,1,"5.28",NA,1,"4.85",NA,1,0,0,0,0,0,NA
1059,"annual_2023","2023-04-13",1,"black top driveway",2,1,"6.15",NA,1,"5.2",NA,1,"5.74",NA,1,0,0,0,0,0,NA,2,1,"4.36",NA,1,"4.29",NA,1,"4.32",NA,1,0,0,0,0,0,NA
1084,"annual_2022","2022-07-03",0,"in my yard, grass",3,1,"7.13",NA,1,"6.3",NA,1,"6.4",NA,0,0,0,0,1,0,NA,1,1,"4.4",NA,1,"3.8",NA,1,"3.16",NA,0,0,0,0,1,0,NA
1148,"annual_2022","2022-07-10",0,"In my backyard, grass",3,1,"7.46",NA,1,"6.67",NA,1,"5.86",NA,1,0,1,0,0,0,NA,3,1,"3.15",NA,1,"3.63",NA,1,"3.33",NA,1,0,1,0,0,0,NA
1148,"annual_2023","2023-05-28",1,"Park, concrete",3,1,"9.00",NA,1,"9.39",NA,1,"6.29",NA,1,0,1,0,0,0,NA,3,1,"4.17",NA,1,"4.29",NA,1,"4.76",NA,1,0,1,0,0,0,NA
1160,"annual_2022","2022-07-10",1,"concrete. on the sidewalk just down the hill from my apartment where there is a stretch of flat ground",2,1,"2.84",NA,1,"3.38",NA,1,"3.65",NA,0,0,1,0,0,0,NA,1,1,"2.55",NA,1,"2.73",NA,1,"2.75",NA,1,0,1,0,0,0,NA
1176,"annual_2022","2022-07-10",0,"Condo deck carpet",3,1,"5.46",NA,1,"5.64",NA,1,"5.49",NA,0,0,1,0,0,0,NA,3,1,"5.49",NA,1,"5.64",NA,1,"5.49",NA,0,0,1,0,0,0,NA
1245,"annual_2022","2022-07-08",1,"In front of my house",2,1,"4.62",NA,1,"4.67",NA,1,"4.65",NA,1,0,1,0,0,0,NA,3,1,"3.08",NA,1,"2.97",NA,1,"2.62",NA,1,0,1,0,0,0,NA
1269,"annual_2022","2022-07-11",0,"in my yard on driveway (concrete)",2,1,"3.49",NA,1,"3.45",NA,1,"3.41",NA,0,0,0,0,1,0,NA,2,1,"3.58",NA,1,"3.12",NA,1,"2.98",NA,1,0,1,0,0,0,NA
1331,"annual_2022","2022-06-26",0,"Fenced yard at apartment complex",3,1,"3.12",NA,1,"3.43",NA,0,NA,"Maybe wrong? He took 4.15 seconds on the last jog because he'd figured out the exact start/ stop spots, and he slowed to a trot the last few feet of the course because he knows he should sit nice for a treat and he wanted to beg for a reward from the timer.",1,0,0,0,0,0,NA,2,1,"2.84",NA,1,"3.12",NA,1,"3.12",NA,1,0,0,0,0,0,NA
1331,"annual_2023","2023-05-01",0,"Parents' yard, grass, relatively flat",3,1,"3.95",NA,1,"3.27",NA,1,"4.19",NA,1,0,0,0,0,0,NA,3,1,"2.64",NA,1,"2.46",NA,0,NA,"Java walked/jogged instead of running. He knows there's a treat and is behaving like this is a routine to fulfill rather than something exciting.",1,0,1,0,0,0,NA
1334,"annual_2022","2022-08-09",1,"in my yard, short grass",5,1,"3.45",NA,1,"3.40",NA,1,"3.30",NA,0,0,1,0,0,0,NA,5,1,"1.38",NA,1,"1.33",NA,1,"1.35",NA,1,0,1,1,0,0,NA
1362,"annual_2022","2022-06-16",1,"At a park we normally go to two or three times a day. It is outdoor with grass.",3,0,NA,"On all the trials he would've gone whatever speed I was going. He just wanted to play hard and not be left behind. He would've run circles around me while I tried to do a jog pace. So I don't put much credence in any of this.",1,"5.05",NA,1,"5.40",NA,0,0,1,0,0,0,NA,3,1,"2.36",NA,1,"2.11",NA,1,"2.1",NA,0,0,1,0,0,0,NA
1431,"annual_2022","2022-07-02",0,"Park",2,1,"4.88",NA,1,"4.83",NA,1,"4.88",NA,0,0,1,0,0,0,NA,2,1,"3.83",NA,1,"3.52",NA,1,"2.52",NA,1,0,1,0,0,0,NA
1443,"annual_2022","2022-07-12",0,"It was 116 degrees here yesterday. We have to do this inside on a tile floor.",5,1,"4.65",NA,1,"5.35",NA,1,"4.68",NA,0,0,1,0,0,0,NA,5,1,"3.66",NA,1,"2.86",NA,1,"3.26",NA,0,0,1,1,0,0,NA
1443,"annual_2023","2023-04-24",0,"In the backyard on the North side of the pool",4,1,"3.25",NA,1,"3.1",NA,1,"4.2",NA,0,0,0,0,1,0,NA,3,1,"2.5",NA,1,"2.18",NA,1,"2.3",NA,1,0,1,0,0,0,NA
1447,"annual_2022","2022-07-10",0,"In the backyard on grass.",3,1,"3.55",NA,1,"4.34",NA,1,"4.13",NA,1,0,1,0,0,0,NA,3,0,NA,"She didn't run full speed.   2.34 seconds",0,NA,"She walked at the beg. then ran but not full speed. 2.84 seconds.",0,NA,"She quit and walked toward the door of the house.",1,0,1,0,0,0,NA
1480,"annual_2022","2022-07-06",1,"empty parking area next door, asphalt",4,1,"3.21",NA,1,"4.11",NA,1,"4.21",NA,0,0,1,1,0,1,"My other dog!",1,1,"3.71",NA,1,"4.09",NA,1,"3.25",NA,0,0,1,1,0,1,"My other dog"
1480,"annual_2023","2023-05-01",0,"outside concrete",3,1,"5.98",NA,1,"5.26",NA,1,"4.46",NA,1,0,1,0,0,0,NA,1,1,"3.00",NA,1,"4.34",NA,1,"3.85",NA,1,0,1,0,0,0,NA
1487,"annual_2023","2023-05-26",1,"in my yard",2,1,"4.98",NA,1,"5.54",NA,1,"4.70",NA,0,0,0,0,1,0,NA,2,1,"4.62",NA,1,"2.48",NA,1,"4.88",NA,1,0,0,0,0,0,NA
1540,"annual_2022","2022-07-11",0,"side of garage on grass",2,1,"4.11",NA,1,"3.91",NA,1,"3.81",NA,0,0,1,0,0,0,NA,2,1,"3.47",NA,1,"2.73",NA,1,"3.01",NA,1,0,1,0,0,0,NA
1547,"annual_2022","2022-07-19",0,"fenced in yard at rio vista",1,1,"4.8",NA,1,"4.9",NA,1,"4.75",NA,1,0,1,0,0,0,NA,1,1,"2.7",NA,1,"2.55",NA,1,"2.65",NA,1,0,1,0,0,0,NA
1593,"annual_2022","2022-06-12",1,"Barn aisleway",1,1,"8.17",NA,1,"6.50",NA,1,"10.20",NA,0,0,1,0,0,0,NA,1,1,"6.01",NA,1,"5.31",NA,0,NA,"He stopped running and went to a jog then walk",1,0,1,0,0,0,NA
1633,"annual_2022","2022-07-02",0,"in the backyard on the grass",1,1,"3.66",NA,1,"3.46",NA,1,"3.0",NA,1,0,0,0,0,0,NA,1,1,"1.96",NA,1,"1.81",NA,1,"1.83",NA,1,0,0,0,0,0,NA
1646,"annual_2023","2023-05-09",0,"my grass covered dog training field",3,1,"2.46",NA,1,"2.21",NA,1,"2.26",NA,1,0,1,0,0,0,NA,1,1,"1.65",NA,1,"2.08",NA,1,"1.93",NA,0,0,1,0,0,0,NA
1652,"annual_2023","2023-05-07",0,"backyard patio, travertine tile",2,1,"6.03",NA,1,"5.13",NA,1,"4.47",NA,0,0,1,0,0,0,NA,1,1,"3.15",NA,1,"2.7",NA,1,"3.02",NA,1,0,1,0,0,0,NA
1664,"annual_2022","2022-07-07",0,"Asphalt driveway",1,1,"7.06",NA,1,"7.04",NA,1,"7.03",NA,1,0,0,0,0,0,NA,2,1,"7.0",NA,1,"7.0",NA,1,"6.7",NA,1,0,0,0,0,0,NA
1671,"annual_2022","2022-07-06",0,"cul-de-sac pavement in front of our house",2,1,"3.83",NA,1,"4.37",NA,1,"3.35",NA,1,0,0,0,0,0,NA,1,1,"2.26",NA,1,"2.16",NA,1,"2.03",NA,1,0,0,0,0,0,NA
1671,"annual_2023","2023-05-03",1,"cul-de-sac in front of my house",3,1,"4.36",NA,1,"3.56",NA,1,"5.09",NA,0,0,0,0,1,0,NA,1,1,"2.55",NA,1,"2.39",NA,1,"2.20",NA,1,0,0,0,0,0,NA
1692,"annual_2022","2022-06-18",1,"Turf field",3,1,"5.13",NA,1,"3.77",NA,1,"3.72",NA,0,0,0,0,1,0,NA,3,1,"2.20",NA,1,"2.15",NA,1,"2.02",NA,0,0,0,0,0,1,"Prey"
1707,"annual_2022","2022-07-04",1,"Driveway",3,1,"6.01",NA,1,"5.75",NA,1,"5.89",NA,1,0,1,0,0,0,NA,1,0,NA,"Lapka will run, but not in this scenario. He can charge when he feels like it -- usually some seemingly random point on an off-leash walk -- but the best we can coax from him with this protocol is a casual trot, essentially the same pace as the previous exercise.",0,NA,"see trial 1 comment",0,NA,"see trial 1 comment",1,0,1,0,0,0,NA
1777,"annual_2022","2022-07-24",0,"hallway outside my apartment",3,1,"9.13",NA,1,"6.41",NA,1,"6.93",NA,1,0,0,0,0,0,NA,3,1,"9.13",NA,1,"6.41",NA,1,"6.93",NA,1,0,1,0,0,0,NA
1867,"annual_2023","2023-04-03",1,"driveway at home, pavement",2,1,"5",NA,1,"5",NA,1,"5",NA,1,0,1,0,0,0,NA,2,1,"3",NA,1,"3",NA,1,"3",NA,0,0,1,0,0,0,NA
1887,"annual_2023","2023-05-01",0,"in my yard - grass",2,1,"5.10",NA,1,"5.6",NA,1,"5.40",NA,1,0,1,0,0,0,NA,2,1,"2.03",NA,1,"1.35",NA,1,"1.71",NA,1,0,1,0,0,0,NA
1914,"annual_2022","2022-07-19",0,"Driveway",1,1,"3.8",NA,1,"4.2",NA,1,"4.1",NA,0,0,1,0,0,0,NA,1,1,"1.90",NA,1,"1.67",NA,1,"1.52",NA,0,0,1,0,0,0,NA
1941,"annual_2023","2023-04-30",0,"Inside my house",3,1,"3.80",NA,1,"3.78",NA,1,"3.80",NA,0,0,0,0,1,0,NA,2,1,"2.15",NA,1,"2.15",NA,1,"2.21",NA,1,0,1,0,0,0,NA
1986,"annual_2022","2022-07-09",0,"inside my house - tile floor",2,1,"7.38",NA,1,"7.28",NA,1,"6.55",NA,0,0,0,0,1,0,NA,3,1,"4.12",NA,1,"3.14",NA,1,"3.94",NA,1,0,0,0,0,0,NA
2066,"annual_2023","2023-05-09",0,"Sidewalk outside house-concrete",3,1,"8",NA,1,"8",NA,1,"9",NA,1,0,0,0,0,0,NA,3,1,"8",NA,1,"9",NA,1,"9",NA,0,0,0,0,0,1,"show bag of treats at end of course with shaking them as this is his motivator on daily runs.  His hearing is very diminished but he reacts to hand and arm signals."
2078,"annual_2023","2023-05-11",0,"our driveway, concrete",1,1,"5.30",NA,1,"5.88",NA,1,"5.91",NA,1,0,0,0,0,0,NA,1,1,"3.70",NA,0,NA,"started limping",0,NA,"stopped as was limping after first jog",1,0,0,0,0,0,NA
2127,"annual_2023","2023-04-22",0,"my yard",3,1,"6.00",NA,1,"6.42",NA,1,"6.24",NA,0,0,1,0,0,0,NA,2,1,"3.71",NA,1,"4.1",NA,1,"3.44",NA,0,0,1,0,0,0,NA
2141,"annual_2023","2023-05-06",0,"In my backyard, a mix of dirt and grass.",2,1,"8.64",NA,1,"9.25",NA,1,"7.41",NA,0,0,1,0,0,0,NA,1,1,"2.66",NA,1,"2.32",NA,0,NA,"Swerved slightly, didn't run in a completely straight line.   2.13 was the time.",1,1,1,0,0,0,NA
2198,"annual_2022","2022-07-17",0,"Flat, aggregate/concrete driveway behind my house",3,1,"3.06",NA,1,"3.48",NA,1,"3.00",NA,1,0,0,0,0,0,NA,3,1,"1.73",NA,1,"1.88",NA,1,"2.23",NA,1,0,0,0,0,0,NA
2198,"annual_2023","2023-05-11",1,"Driveway at our house",3,1,"4.22",NA,1,"4.07",NA,1,"3.97",NA,0,0,1,0,0,0,NA,3,1,"2.07",NA,1,"2.82",NA,1,"2.73",NA,0,0,1,0,0,0,NA
2287,"annual_2023","2023-05-20",0,"outside  - asphalt basketball court in Westwood Park",3,1,"4.87",NA,1,"4.99",NA,1,"5.20",NA,0,0,1,0,0,1,"going to his favorite person",2,1,"3.98",NA,1,"3.81",NA,1,"4.21",NA,1,0,1,0,0,1,"running to favorite person"
2318,"annual_2023","2023-05-19",1,"Grass/dirt backyard.",3,0,NA,"Bear is too excited about running and he hopped the whole time.",0,NA,"Bear is too excited about running and he hopped up in the air, chewing on a leash the whole time.",0,NA,"Bear is too excited about running and he hopped up in the air, chewing on a leash the whole time.",0,0,0,0,1,0,NA,2,1,"1.78",NA,1,"1.77",NA,1,"1.82",NA,0,1,0,0,0,0,NA
2349,"annual_2023","2023-05-19",0,"outside, long driveway",3,1,"3.54",NA,0,NA,"He got over excited and ran.  Hahaha",1,"3.73",NA,1,0,0,0,0,0,NA,3,1,"3.46",NA,1,"3.17",NA,1,"3.47",NA,1,0,0,0,0,0,NA
2361,"annual_2023","2023-05-08",1,"A park near the airport with designated trails",2,1,"8.75",NA,1,"9.25",NA,1,"9.72",NA,1,0,1,0,0,0,NA,1,1,"9.05",NA,0,NA,"saw a deer",1,"9.18",NA,1,0,1,0,0,0,NA
2396,"annual_2023","2023-04-27",1,"Grass",1,1,"12",NA,1,"12",NA,1,"12",NA,1,0,1,1,0,0,NA,1,1,"8",NA,1,"8",NA,1,"8",NA,1,0,1,1,0,0,NA
2413,"annual_2023","2023-05-27",0,"backyard",3,1,"7.7",NA,1,"6.5",NA,1,"6",NA,0,0,1,0,0,0,NA,3,1,"7.7",NA,1,"6.5",NA,1,"6",NA,0,0,1,0,0,0,NA
2445,"annual_2023","2023-05-24",1,"yard",3,1,"5.70",NA,1,"4.95",NA,1,"5.30",NA,0,0,1,0,0,0,NA,3,1,"1.93",NA,1,"2.43",NA,0,NA,"hot and tired!",0,0,1,0,0,0,NA
2499,"annual_2023","2023-05-31",0,"grass",2,1,"3.5",NA,1,"3.6",NA,1,"3.6",NA,0,0,1,0,0,0,NA,3,1,"10.3",NA,0,NA,"Dog was distracted",1,"15.1",NA,0,0,1,1,0,0,NA
2560,"annual_2022","2022-08-05",0,"Backyard lawn",2,1,"4.95",NA,1,"4.90",NA,1,"4.99",NA,1,0,1,0,0,0,NA,1,1,"3.01",NA,1,"3.04",NA,1,"3.03",NA,1,0,1,0,0,0,NA
2732,"annual_2023","2023-05-21",0,"in my yard on grass, on top terrace",3,1,"10.01",NA,1,"7.83",NA,1,"6.21",NA,1,0,0,0,0,0,NA,3,1,"2.78",NA,1,"2.56",NA,1,"2.10",NA,1,0,1,0,0,0,NA
2825,"annual_2023","2023-04-23",1,"concrete driveway at my house",4,1,"2.13",NA,1,"2.02",NA,1,"2.16",NA,0,0,1,0,0,0,NA,3,1,".64",NA,1,".53",NA,1,".60",NA,0,0,1,0,0,0,NA
2970,"annual_2022","2022-07-19",0,"Inside my home in the hallway, grippy tile floor.",2,1,"4.33",NA,1,"3.66",NA,1,"3.73",NA,1,0,1,0,0,0,NA,1,1,"2.14",NA,1,"2.03",NA,1,"1.93",NA,0,1,1,0,0,0,NA
2990,"annual_2023","2023-05-07",0,"backyard",2,1,"4.25",NA,1,"4.47",NA,1,"4.20",NA,1,0,0,0,0,0,NA,3,1,"1.86",NA,0,NA,"the timer on my phone malfunctioned",1,"1.98",NA,1,0,0,0,0,0,NA
3104,"annual_2023","2023-05-01",0,"Grass area in back yard",1,1,"6.92",NA,1,"7.17",NA,1,"8.67",NA,1,0,1,1,0,0,NA,1,1,"7.24",NA,1,"6.62",NA,1,"5.89",NA,1,0,1,1,0,1,"Shaking treat container"
