"dog_id","Sample_Year","DAP_Sample_ID","krt_cp_total_protein_value","krt_cp_total_protein_modifier","krt_cp_albumin_value","krt_cp_albumin_modifier","krt_cp_globulins_value","krt_cp_globulins_modifier","krt_cp_alb_glob_ratio_value","krt_cp_alb_glob_ratio_modifier","krt_cp_calcium_value","krt_cp_calcium_modifier","krt_cp_phosphorus_value","krt_cp_phosphorus_modifier","krt_cp_magnesium_value","krt_cp_magnesium_modifier","krt_cp_glucose_value","krt_cp_glucose_modifier","krt_cp_bun_value","krt_cp_bun_modifier","krt_cp_creatinine_value","krt_cp_creatinine_modifier","krt_cp_bilirubin_total_value","krt_cp_bilirubin_total_modifier","krt_cp_alkp_value","krt_cp_alkp_modifier","krt_cp_alt_value","krt_cp_alt_modifier","krt_cp_ggt_value","krt_cp_ggt_modifier","krt_cp_amylase_value","krt_cp_amylase_modifier","krt_cp_triglycerides_value","krt_cp_triglycerides_modifier","krt_cp_cholesterol_value","krt_cp_cholesterol_modifier","krt_cp_sodium_value","krt_cp_sodium_modifier","krt_cp_potassium_value","krt_cp_potassium_modifier","krt_cp_chloride_value","krt_cp_chloride_modifier","krt_cp_sp_ratio_value","krt_cp_sp_ratio_modifier","krt_cp_test_comments"
273,"precision_2","273-precision_2-ChemPanel",6.3,NA,3.2,NA,3.1,NA,1,NA,8.9,NA,3.4,NA,1.9,NA,38,NA,23,NA,1.2,NA,0.3,NA,21,NA,30,NA,3,"<",521,NA,65,NA,350,NA,147,NA,5.2,NA,113,NA,28.3,NA,"Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history.2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
310,"precision_1","310-precision_1-ChemPanel",6.4,NA,3,NA,3.4,NA,0.9,NA,10.1,NA,3.9,NA,1.8,NA,98,NA,25,NA,0.9,NA,0.4,NA,56,NA,43,NA,3,"<",499,NA,356,NA,227,NA,142,NA,4.8,NA,107,NA,29.6,NA,"1+ lipemia is reported. No known interferences.2+ hemolysis is reported and may falsely increase AST and potassium results."
310,"precision_2","310-precision_2-ChemPanel",6.8,NA,3,NA,3.8,NA,0.8,NA,10.1,NA,3.6,NA,1.7,NA,83,NA,22,NA,1.2,NA,0.2,NA,78,NA,38,NA,3,"<",426,NA,301,NA,226,NA,145,NA,5,NA,109,NA,29,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
310,"precision_3","310-precision_3-ChemPanel",6.9,NA,3.1,NA,3.8,NA,0.8,NA,9.7,NA,3.9,NA,1.8,NA,88,NA,27,NA,1.53,NA,0.2,NA,66,NA,30,NA,3,"<",443,NA,113,NA,217,NA,145,NA,5.2,NA,108,NA,27.9,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
540,"precision_1","540-precision_1-ChemPanel",6.3,NA,3.4,NA,2.9,NA,1.2,NA,10,NA,3.6,NA,1.8,NA,89,NA,10,NA,1,NA,0.2,NA,18,NA,22,NA,4,NA,416,NA,59,NA,142,NA,147,NA,4.1,NA,112,NA,35.9,NA,NA
540,"precision_2","540-precision_2-ChemPanel",6.5,NA,3.4,NA,3.1,NA,1.1,NA,9.8,NA,2.8,NA,1.8,NA,82,NA,10,NA,0.9,NA,0.2,NA,22,NA,25,NA,4,NA,345,NA,68,NA,161,NA,149,NA,4,NA,113,NA,37.3,NA,NA
540,"precision_3","540-precision_3-ChemPanel",6,NA,3.2,NA,2.8,NA,1.1,NA,9.7,NA,2.4,NA,1.8,NA,95,NA,10,NA,0.96,NA,0.2,NA,19,NA,28,NA,5,NA,766,NA,56,NA,169,NA,148,NA,4.1,NA,114,NA,36.1,NA,NA
613,"precision_1","613-precision_1-ChemPanel",6.9,NA,3.2,NA,3.7,NA,0.9,NA,10,NA,3.8,NA,1.7,NA,107,NA,20,NA,1.1,NA,0.2,NA,26,NA,36,NA,3,NA,487,NA,61,NA,227,NA,144,NA,4.7,NA,109,NA,30.6,NA,NA
613,"precision_2","613-precision_2-ChemPanel",7,NA,3.3,NA,3.7,NA,0.9,NA,10.1,NA,4.3,NA,1.7,NA,93,NA,17,NA,1.1,NA,0.2,NA,19,NA,34,NA,3,"<",448,NA,71,NA,296,NA,145,NA,4.6,NA,113,NA,31.5,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
613,"precision_3","613-precision_3-ChemPanel",6.8,NA,3.3,NA,3.5,NA,0.9,NA,10.1,NA,3.2,NA,1.7,NA,105,NA,14,NA,1.07,NA,0.2,NA,23,NA,37,NA,3,"<",647,NA,68,NA,261,NA,147,NA,4.1,NA,113,NA,35.9,NA,NA
692,"precision_1","692-precision_1-ChemPanel",6.3,NA,3.5,NA,2.8,NA,1.3,NA,10.6,NA,2.9,NA,2.2,NA,109,NA,16,NA,1,NA,0.2,NA,112,NA,35,NA,7,NA,792,NA,94,NA,448,NA,147,NA,4,NA,112,NA,36.8,NA,NA
695,"precision_1","695-precision_1-ChemPanel",6.6,NA,3.2,NA,3.4,NA,0.9,NA,10.3,NA,4,NA,1.8,NA,92,NA,19,NA,1.1,NA,0.3,NA,84,NA,52,NA,3,"<",342,NA,833,NA,422,NA,144,NA,4.3,NA,112,NA,33.5,NA,NA
695,"precision_2","695-precision_2-ChemPanel",6.9,NA,3.2,NA,3.7,NA,0.9,NA,10.7,NA,4.5,NA,1.7,NA,91,NA,18,NA,0.9,NA,0.2,NA,103,NA,55,NA,3,"<",377,NA,420,NA,350,NA,147,NA,4.8,NA,112,NA,30.6,NA,"1+ lipemia is reported. No known interferences.2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
695,"precision_3","695-precision_3-ChemPanel",7.1,NA,3.4,NA,3.7,NA,0.9,NA,11.3,NA,4.2,NA,1.7,NA,98,NA,19,NA,1.07,NA,0.2,NA,165,NA,66,NA,3,"<",449,NA,390,NA,386,NA,147,NA,4.7,NA,110,NA,31.3,NA,"1+ lipemia is reported. No known interferences.2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
760,"precision_1","760-precision_1-ChemPanel",6.6,NA,3.8,NA,2.8,NA,1.4,NA,10.9,NA,4.4,NA,1.8,NA,95,NA,17,NA,1.1,NA,0.3,NA,36,NA,23,NA,3,"<",622,NA,294,NA,233,NA,146,NA,4.4,NA,112,NA,33.2,NA,"2+ lipemia is reported and can mildly decrease electrolyte values.2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
760,"precision_2","760-precision_2-ChemPanel",6.8,NA,3.8,NA,3,NA,1.3,NA,9.9,NA,3.2,NA,1.8,NA,10,"<",17,NA,1,NA,0.2,NA,66,NA,34,NA,3,"<",552,NA,122,NA,218,NA,150,NA,4.7,NA,109,NA,31.9,NA,"Glucose result verified by repeat analysis. 2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results.Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history."
760,"precision_3","760-precision_3-ChemPanel",7,NA,4.1,NA,2.9,NA,1.4,NA,11,NA,4.2,NA,1.8,NA,89,NA,17,NA,0.84,NA,0.2,NA,121,NA,37,NA,3,"<",606,NA,222,NA,256,NA,147,NA,4.6,NA,112,NA,32,NA,"2+ hemolysis is reported and may falsely increase phosphorus and K results.1+ lipemia is reported. No known interferences."
766,"precision_1","766-precision_1-ChemPanel",6.5,NA,3.3,NA,3.2,NA,1,NA,10.8,NA,2.9,NA,1.9,NA,105,NA,17,NA,0.9,NA,0.2,NA,79,NA,64,NA,3,"<",433,NA,135,NA,255,NA,147,NA,4,NA,111,NA,36.8,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
766,"precision_2","766-precision_2-ChemPanel",7,NA,3.7,NA,3.3,NA,1.1,NA,9,NA,3.9,NA,2,NA,26,NA,27,NA,0.7,NA,0.3,NA,253,NA,69,NA,3,"<",547,NA,347,NA,288,NA,150,NA,5.1,NA,105,NA,29.4,NA,"Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history.3+ hemolysis is reported and may affect phosphorus, AST, potassium, and amylase tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
981,"precision_1","981-precision_1-ChemPanel",6.3,NA,3.4,NA,2.9,NA,1.2,NA,9.7,NA,2.5,NA,2.2,NA,93,NA,13,NA,1.4,NA,0.4,NA,25,NA,40,NA,3,NA,502,NA,63,NA,261,NA,148,NA,4.4,NA,114,NA,33.6,NA,NA
981,"precision_2","981-precision_2-ChemPanel",6.5,NA,3.5,NA,3,NA,1.2,NA,10.1,NA,2.9,NA,1.9,NA,96,NA,18,NA,1.4,NA,0.3,NA,31,NA,65,NA,5,NA,487,NA,78,NA,227,NA,151,NA,4.6,NA,116,NA,32.8,NA,NA
991,"precision_1","991-precision_1-ChemPanel",7.9,NA,4.2,NA,3.7,NA,1.1,NA,9.1,NA,23.4,NA,2.9,NA,10,"<",22,NA,1.2,NA,0.6,NA,5,"<",57,NA,3,"<",316,NA,72,NA,203,NA,153,NA,5.8,NA,98,NA,26.4,NA,"Phosphorus, glucose, ALKP, and electrolyte results verified by repeat analysis. Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium, CK) and others could be falsely low (glucose).4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
991,"precision_2","991-precision_2-ChemPanel",6.9,NA,3.5,NA,3.4,NA,1,NA,9.9,NA,5,NA,1.5,NA,105,NA,19,NA,0.6,NA,0.2,NA,21,NA,46,NA,3,"<",362,NA,95,NA,149,NA,147,NA,4.1,NA,108,NA,35.9,NA,NA
991,"precision_3","991-precision_3-ChemPanel",6.9,NA,3.4,NA,3.5,NA,1,NA,9.7,NA,4.9,NA,1.6,NA,106,NA,14,NA,0.64,NA,0.2,NA,20,NA,51,NA,3,"<",411,NA,152,NA,147,NA,148,NA,4.2,NA,109,NA,35.2,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1148,"precision_1","1148-precision_1-ChemPanel",6.2,NA,3.5,NA,2.7,NA,1.3,NA,10.1,NA,3.7,NA,1.7,NA,103,NA,24,NA,0.8,NA,0.3,NA,30,NA,46,NA,3,"<",505,NA,97,NA,273,NA,147,NA,4.8,NA,110,NA,30.6,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1238,"precision_1","1238-precision_1-ChemPanel",5.9,NA,3.1,NA,2.8,NA,1.1,NA,9.6,NA,3.7,NA,1.7,NA,93,NA,12,NA,1,NA,0.2,NA,16,NA,17,NA,3,"<",637,NA,49,NA,243,NA,148,NA,4.5,NA,116,NA,32.9,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1238,"precision_2","1238-precision_2-ChemPanel",5.5,NA,3.2,NA,2.3,NA,1.4,NA,9.6,NA,3.7,NA,1.7,NA,94,NA,11,NA,1,NA,0.2,NA,20,NA,18,NA,3,NA,588,NA,48,NA,263,NA,149,NA,4.5,NA,116,NA,33.1,NA,NA
1443,"precision_1","1443-precision_1-ChemPanel",5.2,NA,3.2,NA,2,NA,1.6,NA,9.1,NA,3.4,NA,1.8,NA,93,NA,23,NA,0.9,NA,0.3,NA,24,NA,21,NA,3,"<",392,NA,37,NA,276,NA,145,NA,4.1,NA,114,NA,35.4,NA,"1+ hemolysis is reported and may falsely increase the AST and K results."
1443,"precision_2","1443-precision_2-ChemPanel",5.5,NA,3.2,NA,2.3,NA,1.4,NA,9.1,NA,3.4,NA,1.8,NA,82,NA,16,NA,1,NA,0.3,NA,38,NA,27,NA,3,"<",373,NA,61,NA,278,NA,147,NA,4.1,NA,116,NA,35.9,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1443,"precision_3","1443-precision_3-ChemPanel",5.4,NA,3.1,NA,2.3,NA,1.3,NA,9.1,NA,3.2,NA,1.7,NA,88,NA,19,NA,1.05,NA,0.2,NA,31,NA,27,NA,3,"<",351,NA,43,NA,269,NA,148,NA,4.1,NA,116,NA,36.1,NA,NA
1530,"precision_1","1530-precision_1-ChemPanel",6.5,NA,3.4,NA,3.1,NA,1.1,NA,9.9,NA,3.7,NA,1.7,NA,111,NA,19,NA,1.1,NA,0.3,NA,21,NA,20,NA,4,NA,408,NA,53,NA,227,NA,146,NA,4.3,NA,112,NA,34,NA,NA
1530,"precision_2","1530-precision_2-ChemPanel",6.1,NA,3.2,NA,2.9,NA,1.1,NA,9.6,NA,3.5,NA,1.6,NA,92,NA,11,NA,1.1,NA,0.2,NA,13,NA,18,NA,3,"<",328,NA,39,NA,170,NA,148,NA,4.8,NA,116,NA,30.8,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1530,"precision_3","1530-precision_3-ChemPanel",6.8,NA,3.2,NA,3.6,NA,0.9,NA,9.9,NA,3.1,NA,1.6,NA,94,NA,13,NA,1.24,NA,0.1,NA,15,NA,90,NA,5,NA,438,NA,49,NA,164,NA,146,NA,4.2,NA,114,NA,34.8,NA,NA
1547,"precision_1","1547-precision_1-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,10.1,NA,4,NA,1.8,NA,104,NA,24,NA,1,NA,0.3,NA,76,NA,60,NA,3,NA,580,NA,59,NA,421,NA,145,NA,4.2,NA,112,NA,34.5,NA,NA
1547,"precision_2","1547-precision_2-ChemPanel",6.3,NA,3.2,NA,3.1,NA,1,NA,10.2,NA,3.9,NA,1.6,NA,97,NA,27,NA,1,NA,0.3,NA,74,NA,48,NA,3,NA,451,NA,50,NA,412,NA,147,NA,4.2,NA,112,NA,35,NA,NA
1642,"precision_1","1642-precision_1-ChemPanel",6.9,NA,3.4,NA,3.5,NA,1,NA,11.2,NA,4.3,NA,1.7,NA,100,NA,26,NA,1.15,NA,0.2,NA,594,NA,89,NA,3,NA,658,NA,112,NA,316,NA,148,NA,5.7,NA,111,NA,26,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results.Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history."
1646,"precision_1","1646-precision_1-ChemPanel",6.4,NA,3,NA,3.4,NA,0.9,NA,9.2,NA,2.8,NA,2,NA,101,NA,12,NA,0.9,NA,0.2,NA,21,NA,32,NA,3,"<",1216,NA,55,NA,215,NA,150,NA,3.9,NA,115,NA,38.5,NA,NA
1646,"precision_2","1646-precision_2-ChemPanel",6.2,NA,3,NA,3.2,NA,0.9,NA,9.4,NA,2.9,NA,1.7,NA,101,NA,17,NA,0.9,NA,0.2,NA,24,NA,50,NA,3,"<",906,NA,53,NA,196,NA,148,NA,3.9,NA,119,NA,37.9,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1777,"precision_1","1777-precision_1-ChemPanel",6.2,NA,2.9,NA,3.3,NA,0.9,NA,10,NA,3.6,NA,1.6,NA,94,NA,14,NA,1.1,NA,0.3,NA,87,NA,61,NA,4,NA,614,NA,53,NA,110,NA,149,NA,4.9,NA,115,NA,30.4,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1777,"precision_2","1777-precision_2-ChemPanel",6.4,NA,3,NA,3.4,NA,0.9,NA,10.1,NA,3.7,NA,1.6,NA,86,NA,12,NA,0.9,NA,0.2,NA,148,NA,43,NA,3,"<",714,NA,46,NA,133,NA,150,NA,5.6,NA,115,NA,26.8,NA,NA
1785,"precision_1","1785-precision_1-ChemPanel",6.1,NA,3.6,NA,2.5,NA,1.4,NA,10.5,NA,4.4,NA,1.7,NA,92,NA,17,NA,0.76,NA,0.2,NA,109,NA,242,NA,15,NA,628,NA,96,NA,206,NA,147,NA,5.5,NA,113,NA,26.7,NA,NA
1803,"precision_1","1803-precision_1-ChemPanel",6,NA,2.9,NA,3.1,NA,0.9,NA,10.7,NA,4,NA,2,NA,95,NA,9,NA,0.7,NA,0.1,NA,74,NA,42,NA,3,NA,546,NA,213,NA,250,NA,147,NA,4.4,NA,109,NA,33.4,NA,NA
1824,"precision_1","1824-precision_1-ChemPanel",6.3,NA,3,NA,3.3,NA,0.9,NA,9.9,NA,2.4,NA,1.7,NA,107,NA,18,NA,1.2,NA,0.2,NA,23,NA,47,NA,3,NA,657,NA,61,NA,239,NA,147,NA,4.2,NA,116,NA,35,NA,NA
1824,"precision_2","1824-precision_2-ChemPanel",6.7,NA,2.9,NA,3.8,NA,0.8,NA,9.7,NA,3,NA,1.7,NA,99,NA,20,NA,1.3,NA,0.2,NA,31,NA,51,NA,3,"<",604,NA,83,NA,220,NA,149,NA,4.9,NA,118,NA,30.4,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
1824,"precision_3","1824-precision_3-ChemPanel",6.9,NA,2.9,NA,4,NA,0.7,NA,9.8,NA,3.5,NA,1.7,NA,97,NA,13,NA,1.18,NA,0.3,NA,29,NA,61,NA,3,NA,714,NA,74,NA,215,NA,147,NA,4.4,NA,114,NA,33.4,NA,NA
1914,"precision_1","1914-precision_1-ChemPanel",6.4,NA,3.5,NA,2.9,NA,1.2,NA,7.9,NA,3.8,NA,2,NA,40,NA,23,NA,0.8,NA,0.5,NA,7,NA,50,NA,3,"<",266,NA,64,NA,197,NA,146,NA,5,NA,109,NA,29.2,NA,"4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling.Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium, CK) and others could be falsely low (glucose)."
1914,"precision_2","1914-precision_2-ChemPanel",6.9,NA,3.7,NA,3.2,NA,1.2,NA,7.9,NA,6.8,NA,2.2,NA,10,"<",25,NA,1.1,NA,0.2,NA,20,NA,57,NA,4,NA,279,NA,149,NA,231,NA,149,NA,5.9,NA,105,NA,25.3,NA,"Glucose and calcium verified by repeat analysis. Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history.3+ hemolysis is reported and may affect phosphorus, AST, potassium, and amylase tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling."
1986,"precision_1","1986-precision_1-ChemPanel",6.3,NA,3,NA,3.3,NA,0.9,NA,10.1,NA,3.9,NA,1.7,NA,114,NA,19,NA,0.8,NA,0.2,NA,33,NA,36,NA,3,"<",891,NA,46,NA,163,NA,146,NA,4.7,NA,109,NA,31.1,NA,NA
1986,"precision_2","1986-precision_2-ChemPanel",6.4,NA,2.9,NA,3.5,NA,0.8,NA,10.2,NA,4.1,NA,1.7,NA,86,NA,15,NA,0.6,NA,0.2,NA,79,NA,28,NA,3,"<",661,NA,75,NA,188,NA,146,NA,4.9,NA,111,NA,29.8,NA,NA
1986,"precision_3","1986-precision_3-ChemPanel",6.6,NA,3,NA,3.6,NA,0.8,NA,10.4,NA,3.8,NA,1.7,NA,99,NA,18,NA,0.75,NA,0.2,NA,84,NA,45,NA,4,NA,606,NA,49,NA,185,NA,147,NA,5,NA,112,NA,29.4,NA,NA
2198,"precision_1","2198-precision_1-ChemPanel",7.4,NA,4.2,NA,3.2,NA,1.3,NA,8.8,NA,3.8,NA,2.2,NA,21,NA,17,NA,1,NA,1.2,NA,6,NA,31,NA,3,"<",541,NA,44,NA,248,NA,149,NA,5,NA,106,NA,29.8,NA,"4+ hemolysis is reported and may affect bilirubin, AST, ALKP, amylase, potassium, phosphorus, GGT, and GLDH tests. The reported results may not be an accurate measure of in vivo levels at the time of sampling.Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium, CK) and others could be falsely low (glucose)."
2386,"precision_1","2386-precision_1-ChemPanel",6.3,NA,3.3,NA,3,NA,1.1,NA,10.3,NA,2.8,NA,1.9,NA,88,NA,12,NA,0.7,NA,0.3,NA,52,NA,51,NA,3,NA,289,NA,50,NA,288,NA,148,NA,3.6,NA,110,NA,41.1,NA,NA
2386,"precision_2","2386-precision_2-ChemPanel",6.2,NA,3.2,NA,3,NA,1.1,NA,10.3,NA,3.9,NA,1.7,NA,100,NA,24,NA,0.9,NA,0.2,NA,22,NA,43,NA,3,"<",763,NA,52,NA,332,NA,148,NA,4.2,NA,112,NA,35.2,NA,NA
2386,"precision_3","2386-precision_3-ChemPanel",5.9,NA,3.4,NA,2.5,NA,1.4,NA,10,NA,4.2,NA,1.7,NA,100,NA,12,NA,0.68,NA,0.2,NA,83,NA,58,NA,3,"<",442,NA,50,NA,251,NA,148,NA,4.1,NA,111,NA,36.1,NA,NA
2560,"precision_1","2560-precision_1-ChemPanel",5.5,NA,2.9,NA,2.6,NA,1.1,NA,9.5,NA,3.2,NA,1.9,NA,97,NA,15,NA,1.1,NA,0.2,NA,21,NA,34,NA,4,NA,608,NA,20,NA,138,NA,146,NA,4.6,NA,117,NA,31.7,NA,NA
2560,"precision_2","2560-precision_2-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,10,NA,3.8,NA,1.6,NA,98,NA,14,NA,1.19,NA,0.2,NA,21,NA,29,NA,4,NA,427,NA,43,NA,182,NA,147,NA,4.5,NA,114,NA,32.7,NA,NA
2591,"precision_1","2591-precision_1-ChemPanel",6.3,NA,3.4,NA,2.9,NA,1.2,NA,10.9,NA,4.6,NA,1.7,NA,116,NA,16,NA,0.7,NA,0.3,NA,152,NA,78,NA,3,"<",958,NA,425,NA,185,NA,152,NA,4.2,NA,114,NA,36.2,NA,"2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results.2+ lipemia is reported and can mildly decrease electrolyte values."
2591,"precision_2","2591-precision_2-ChemPanel",5.6,NA,3,NA,2.6,NA,1.2,NA,9.6,NA,5.1,NA,1.7,NA,106,NA,16,NA,0.7,NA,0.2,NA,32,NA,43,NA,3,NA,804,NA,75,NA,152,NA,151,NA,4.6,NA,120,NA,32.8,NA,"Chloride result verified by repeat analysis. "
2591,"precision_3","2591-precision_3-ChemPanel",5.6,NA,3.1,NA,2.5,NA,1.2,NA,10.1,NA,4.4,NA,1.5,NA,133,NA,20,NA,0.71,NA,0.1,NA,42,NA,54,NA,3,NA,919,NA,79,NA,157,NA,150,NA,4.7,NA,118,NA,31.9,NA,NA
2775,"precision_1","2775-precision_1-ChemPanel",6.8,NA,3.5,NA,3.3,NA,1.1,NA,10.5,NA,2.1,NA,2.3,NA,79,NA,17,NA,0.9,NA,0.4,NA,388,NA,80,NA,3,"<",516,NA,250,NA,301,NA,149,NA,4.3,NA,113,NA,34.7,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
2775,"precision_2","2775-precision_2-ChemPanel",6.4,NA,3.4,NA,3,NA,1.1,NA,10.3,NA,2.3,NA,1.7,NA,89,NA,20,NA,0.89,NA,0.3,NA,358,NA,83,NA,3,"<",537,NA,523,NA,311,NA,148,NA,4.2,NA,114,NA,35.2,NA,"1+ lipemia is reported. No known interferences.2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
