"dog_id","survey_year","mm_sc_date","mm_sc_stairs_used_previously","mm_sc_loc_y","mm_sc_stairs_used_description","mm_sc_stair_height_cm","mm_sc_stair_count","mm_sc_number_practice_trials","mc_sc_trial_1_outcome","mm_sc_trial_1_time_seconds","mm_sc_trial_1_problems","mm_sc_trial_2_outcome","mm_sc_trial_2_time_seconds","mm_sc_trial_2_problems","mm_sc_trial_3_outcome","mm_sc_trial_3_time_seconds","mm_sc_trial_3_problems","mm_sc_trials_motivation_treat","mm_sc_trials_motivation_toy","mm_sc_trials_motivation_verbal","mm_sc_trials_motivation_clapping","mm_sc_trials_motivation_none","mm_sc_trials_motivation_other","mm_sc_trials_motivation_other_description"
713,"annual_2023","2023-05-29",0,NA,"at an office building, outside. Concrete.",18,13,1,1,"2.58",NA,1,"3.11",NA,1,"2.21",NA,0,0,1,1,0,0,NA
744,"annual_2023","2023-05-22",1,0,"Inside the house when you walk in the front door to the upstairs bedrooms. Carpet.",20,14,1,1,"4.70",NA,1,"4.40",NA,1,"3.73",NA,1,0,0,0,0,0,NA
760,"annual_2022","2022-07-24",0,NA,"inside house, wood steps",18,14,1,1,"2.68",NA,1,"2.58",NA,1,"2.82",NA,0,0,1,0,0,0,NA
760,"annual_2023","2023-04-23",1,0,"inside my house",19,14,1,1,"2.43",NA,1,"2.68",NA,1,"3.43",NA,0,0,1,0,0,0,NA
792,"annual_2022","2022-07-10",0,NA,"Stairs in Mom's house",21,10,3,1,"3.20",NA,1,"1.62",NA,1,"2.02",NA,1,0,1,0,0,0,NA
801,"annual_2023","2023-05-06",0,NA,"inside house carpeted",20,13,1,1,"4.59",NA,1,"4.19",NA,1,"3.18",NA,0,0,1,0,0,0,NA
818,"annual_2022","2022-07-07",0,NA,"Carpeted inside stairs",19,9,5,1,"1.15",NA,1,"1.28",NA,1,"1.20",NA,0,0,1,0,0,0,NA
853,"annual_2023","2023-05-13",0,NA,"inside my house",20.5,16,1,1,"3.26",NA,1,"3.19",NA,1,"2.87",NA,0,1,1,0,0,0,NA
942,"annual_2022","2022-06-26",1,0,"Inside my house leading from the entry hall to the second floor.  The stairs are made of wood.",18,16,1,1,"2.15",NA,1,"2.14",NA,1,"1.85",NA,0,0,1,0,0,0,NA
942,"annual_2023","2023-04-22",1,0,"Inside my house in the entry way connecting the first and second floors.  The steps are wood.",18.5,15,1,1,"2.01",NA,1,"2.00",NA,1,"1.74",NA,1,0,0,0,0,0,NA
980,"annual_2023","2023-05-09",1,0,"inside house",58,14,2,1,"1.77",NA,1,"1.65",NA,1,"1.68",NA,0,0,1,0,0,0,NA
981,"annual_2022","2022-07-22",0,NA,"Neighbor's stairs to basement wooden",19,13,3,1,"1.35",NA,1,"1.65",NA,1,"1.50",NA,0,0,1,0,0,0,NA
981,"annual_2023","2023-05-10",0,NA,"Wooden steps to my neighbor's deck",20.5,14,1,1,"2.64",NA,1,"2.07",NA,1,"2.01",NA,0,0,1,0,0,0,NA
984,"annual_2022","2022-07-04",1,0,"inside my house",18,8,3,1,"1.50",NA,1,"1.79",NA,1,"1.55",NA,1,0,0,0,0,0,NA
1059,"annual_2022","2022-07-07",0,NA,"carpeted stairs",18,8,3,1,"3.71",NA,1,"2.82",NA,1,"2.71",NA,1,0,0,0,0,0,NA
1059,"annual_2023","2023-04-13",1,0,"inside my house  carpeting",18,8,2,1,"3.4",NA,1,"3.6",NA,1,"3.86",NA,1,0,0,0,0,0,NA
1084,"annual_2022","2022-07-03",1,0,"in house down to basement, carpet",19.5,13,3,1,"2.06",NA,1,"1.9",NA,1,"1.95",NA,1,0,1,0,0,0,NA
1100,"annual_2022","2022-07-04",1,0,"from basement to main floor, indoor outdoor carpet",20,13,2,1,"1.36",NA,1,"1.27",NA,1,"1.63",NA,1,0,1,0,0,0,NA
1118,"annual_2022","2022-07-11",0,NA,"Inside my house.  Connects first and second floors Wood stairs with carpet strips glued to each step to reduce risk of falling.",19,9,3,1,"2.70",NA,1,"2.58",NA,1,"3.20",NA,1,0,0,0,0,0,NA
1148,"annual_2022","2022-07-07",0,NA,"At a park, concrete",14,9,2,1,"3.80",NA,1,"2.78",NA,1,"2.55",NA,1,0,1,0,0,0,NA
1148,"annual_2023","2023-05-28",1,0,"Park, concrete",13.5,17,3,1,"4.24",NA,1,"3.57",NA,1,"4.62",NA,1,0,1,0,0,0,NA
1160,"annual_2022","2022-07-11",0,NA,"at my friend Amy's house. type of footing is brick",18.5,14,1,1,"3.38",NA,1,"3.26",NA,1,"3.65",NA,1,0,1,0,0,0,NA
1176,"annual_2022","2022-07-10",1,0,"North door",18,12,1,1,"2.48",NA,1,"3.2",NA,1,"2.32",NA,0,0,1,0,0,0,NA
1220,"annual_2023","2023-05-16",0,NA,"inside of home, it is carpeted",19,8,3,1,"1.85",NA,1,"2.85",NA,1,"1.95",NA,1,0,1,1,0,0,NA
1245,"annual_2022","2022-07-08",1,0,"Inside my house. Wood with carpet treads.",8,14,1,1,"3.40",NA,1,"3.33",NA,1,"3.37",NA,1,0,1,0,0,0,NA
1269,"annual_2022","2022-07-11",0,NA,"Location: inside my house  Type of footing: carpet",19.5,14,4,1,"5.61",NA,1,"5.65",NA,1,"5.60",NA,1,0,1,0,0,0,NA
1325,"annual_2022","2022-06-01",0,NA,"They are carpeted stairs inside my house.",19,10,3,1,"1.83",NA,1,"1.96",NA,1,"1.61",NA,1,0,1,0,0,0,NA
1325,"annual_2023","2023-05-07",1,0,"carpeted stairs inside our house",20,10,2,1,"1.61",NA,1,"1.57",NA,1,"1.83",NA,1,0,1,0,0,0,NA
1331,"annual_2022","2022-06-26",1,0,"These are the stairs to second floor of our current apartment building, which he uses multiple times daily, not exactly off leash but nearly always with enough loose extendable leash for him to reach the top while I'm still near the bottom. They are wood with rubber treads.",21.5,17,1,1,"2.93",NA,1,"2.97",NA,1,"3.34",NA,1,0,0,0,0,0,NA
1331,"annual_2023","2023-05-01",0,NA,"Inside my parents' house, carpeted",20.5,10,5,1,"3.53",NA,1,"2.48",NA,1,"2.54",NA,1,0,1,0,0,1,"Whistle"
1362,"annual_2022","2022-06-30",1,0,"Outdoor park footing was hard packed dirt.",18,12,3,1,"2.20",NA,1,"2.03",NA,1,"2.02",NA,0,1,1,0,0,0,NA
1487,"annual_2022","2022-06-17",1,0,"inside home",16,10,2,1,"2.53",NA,1,"2.45",NA,1,"2.99",NA,1,0,0,0,0,0,NA
1487,"annual_2023","2023-05-26",1,0,"inside home",16,10,2,1,"3.0",NA,1,"2.5",NA,1,"1.66",NA,1,0,0,0,0,0,NA
1517,"annual_2022","2022-07-10",1,0,"wood deck",17.5,16,1,1,"2.94",NA,1,"2.94",NA,1,"3.14",NA,1,0,0,0,0,0,NA
1530,"annual_2023","2023-05-05",0,NA,"inside erie home.  wood with runner",20,13,1,1,"4.61",NA,1,"3.88",NA,1,"3.23",NA,0,0,1,1,0,0,NA
1540,"annual_2022","2022-07-11",0,NA,"hallway in our summer house. Winter does not use stairs 7 months of the year when we are in Florida.",19.5,15,2,1,"4.36",NA,1,"4.61",NA,1,"6.58",NA,1,0,1,0,0,0,NA
1547,"annual_2022","2022-07-19",0,NA,"basement to first floor rio vista",19,12,1,1,"2.35",NA,1,"2.6",NA,1,"2.3",NA,1,0,1,0,0,0,NA
1633,"annual_2022","2022-07-02",0,NA,"inside my house - carpeted",19,14,1,1,"1.63",NA,1,"1.51",NA,1,"2.01",NA,1,0,0,0,0,0,NA
1664,"annual_2022","2022-07-07",1,0,"Outside back deck stairs made of composit deck material",7.5,12,1,1,"4.41",NA,1,"4.44",NA,1,"4.41",NA,1,0,0,0,0,0,NA
1671,"annual_2022","2022-06-26",1,0,"inside my house, carpeted stairs",18,14,1,1,"4.33",NA,1,"4.38",NA,1,"4.45",NA,1,0,1,0,0,0,NA
1671,"annual_2023","2023-04-30",1,0,"14 carpeted stairs, inside my house",18,14,2,1,"4.06",NA,1,"3.94",NA,1,"3.90",NA,1,0,1,0,0,0,NA
1674,"annual_2022","2022-07-09",1,0,"Outside stairs to second floor apartment  Concrete stairs",21,15,1,1,"6.62",NA,1,"7.05",NA,1,"6.26",NA,1,0,1,0,0,0,NA
1692,"annual_2022","2022-06-18",1,0,"Outdoor concrete",11,8,3,1,"2.77",NA,1,"2.45",NA,1,"5.60",NA,0,0,0,0,1,0,NA
1707,"annual_2022","2022-07-10",0,NA,"Straight outdoor wooden staircase from the ground to the deck at the 2nd level of our home. This is a staircase that Lapka has used many times but does not use on a daily basis. Unfortunately, the indoor staircase he uses several times each day (and negotiates more quickly) can't be used for this activity because it takes a turn mid-way. Also, unlike the indoor stairs, the outdoor stairs have open risers, and Lapka treats them a bit more cautiously.",18,16,3,1,"5.06",NA,1,"6.13",NA,1,"5.88",NA,1,0,0,0,0,0,NA
1824,"annual_2022","2022-07-04",1,0,"concrete. up to my 2nd floor apartment.",18,19,3,1,"4.94",NA,1,"5.12",NA,1,"4.79",NA,0,0,0,0,1,0,NA
1887,"annual_2023","2023-05-16",0,NA,"Inside my house, wood",18.5,12,2,1,"2.13",NA,1,"2.11",NA,1,"1.86",NA,0,0,1,0,0,0,NA
1986,"annual_2022","2022-07-09",1,0,"inside the house made of wood",19,14,1,1,"9.23",NA,1,"5.58",NA,1,"6.53",NA,1,0,1,1,0,0,NA
2066,"annual_2023","2023-05-10",1,0,"inside house.  wood",20,14,1,1,"5.93",NA,1,"4.61",NA,1,"5.18",NA,1,0,0,0,0,0,NA
2127,"annual_2023","2023-04-22",0,NA,"In the house, stairs from the first floor to the second.",21.5,14,1,1,"6.54",NA,1,"8.38",NA,1,"5.12",NA,1,0,1,0,0,0,NA
2141,"annual_2023","2023-04-29",0,NA,"Outside flight of steps from the ground up to our deck.",8,14,1,1,"2.61",NA,1,"3.51",NA,1,"1.99",NA,1,0,1,0,0,0,NA
2198,"annual_2022","2022-07-24",0,NA,"Stairs from first to second floors of my home.",18.5,14,1,1,"1.69",NA,1,"1.85",NA,1,"1.55",NA,1,0,0,0,0,0,NA
2198,"annual_2023","2023-05-11",1,0,"In our house",19,14,3,1,"3.09",NA,1,"2.96",NA,1,"2.54",NA,0,0,1,0,0,0,NA
2287,"annual_2023","2023-05-16",1,0,"inside my house going from basement to main level, carpet",19.5,13,2,1,"2.28",NA,1,"2.23",NA,1,"2.15",NA,1,0,1,0,0,0,NA
2318,"annual_2023","2023-05-20",1,0,"Inside the house. Carpet treads.",14.5,13,1,1,"2.06",NA,1,"2.02",NA,1,"2.05",NA,0,0,0,0,1,0,NA
2349,"annual_2023","2023-05-18",0,NA,"Inside my house, carpeted",19.5,16,1,1,"1.68",NA,1,"2.11",NA,1,"2.00",NA,1,0,0,0,0,0,NA
2396,"annual_2023","2023-04-27",1,0,"House",28,15,1,1,"5",NA,1,"5",NA,1,"5",NA,1,0,1,0,0,0,NA
2413,"annual_2023","2023-05-27",0,NA,"stairs from first floor of home to basement  12 carpeted 7inch high",18,12,1,1,"3.1",NA,1,"2.55",NA,1,"2.5",NA,0,0,1,0,0,0,NA
2499,"annual_2023","2023-05-31",1,0,"12 carpeted stairs in house.",18,12,1,1,"5.5",NA,1,"5.3",NA,1,"8.1",NA,1,0,0,0,0,0,NA
2597,"annual_2023","2023-04-19",1,0,"Basement; Aztec usually has trouble on the stairs, but when he decides to do it, it's fast.",19,12,3,1,"5.50",NA,1,"5.50",NA,1,"5.05",NA,1,0,0,0,0,0,NA
2633,"annual_2023","2023-05-17",1,0,"In the house, carpet",18.5,13,4,1,"2.36",NA,1,"1.57",NA,1,"1.30",NA,1,0,0,0,0,0,NA
2663,"annual_2023","2023-05-14",0,NA,"back hallway in house; low pile carpet",19,9,2,1,"3.17",NA,1,"3.62",NA,1,"3.04",NA,1,0,1,0,0,0,NA
2825,"annual_2023","2023-04-23",0,NA,"inside my house, carpeted",19,7,2,1,".03",NA,1,".04",NA,1,".02",NA,0,0,1,0,0,0,NA
2982,"annual_2023","2023-05-10",1,0,"13 step stairs off outside wood deck",10,13,3,1,"2.5",NA,1,"2.6",NA,1,"2.6",NA,0,0,0,0,1,0,NA
2990,"annual_2023","2023-05-07",0,NA,"carpeted stairs inside my house",19,8,2,1,"1.42",NA,1,"0.92",NA,1,"1.18",NA,1,0,0,0,0,0,NA
3304,"annual_2023","2023-05-07",0,NA,"Inside my home",18,12,3,1,"18.8",NA,1,"16.1",NA,1,"16.73",NA,0,0,1,0,0,0,NA
3367,"annual_2023","2023-05-20",1,0,"in my house (carpeted)",18.5,14,1,1,"2.73",NA,1,"2.98",NA,1,"2.88",NA,0,0,1,0,0,0,NA
3371,"annual_2023","2023-05-17",1,0,"inside the house wooden floors",18.5,8,3,1,"1.68",NA,1,"1.21",NA,1,"1.22",NA,1,0,1,0,0,0,NA
3428,"annual_2023","2023-04-30",1,0,"inside my house",17.5,14,2,1,"2.16",NA,1,"2.04",NA,1,"1.81",NA,1,0,0,0,0,0,NA
3468,"annual_2022","2022-07-17",1,0,"Wood. In side house",18.5,16,1,1,"3.28",NA,1,"2.95",NA,1,"2.53",NA,1,0,0,0,0,0,NA
3468,"annual_2023","2023-05-07",1,0,"Inside house wood",18,16,2,1,"2.65",NA,1,"2.63",NA,1,"2.75",NA,1,0,0,0,0,0,NA
3494,"annual_2023","2023-05-14",1,0,"Inside my house, basement to first floor stairs, unfinished smooth but not slippery wood stairs.",20,13,5,1,"1.69",NA,1,"1.69",NA,1,"1.67",NA,1,0,0,0,0,0,NA
3502,"annual_2022","2022-07-25",1,1,"inside my house, carpet footing",18.5,12,3,1,"1.93",NA,1,"1.54",NA,1,"1.66",NA,1,0,1,0,0,0,NA
3502,"annual_2023","2023-05-15",1,0,"inside my house",17.5,10,3,1,"1.40",NA,1,"1.69",NA,1,"1.77",NA,1,0,0,0,0,0,NA
3515,"annual_2023","2023-05-21",0,NA,"In my yard, wood with anti-slip strips",17.5,14,1,1,"1.97",NA,1,"1.92",NA,1,"1.32",NA,1,0,1,0,0,0,NA
3586,"annual_2022","2022-06-30",1,0,"Stairs in house; carpet covered",19,17,1,1,"17.1",NA,1,"17",NA,1,"19",NA,1,0,1,0,0,0,NA
3617,"annual_2023","2023-05-13",1,0,"Inside my house, Carpet",19,8,3,1,".76",NA,1,".74",NA,1,".74",NA,1,0,0,0,0,0,NA
3684,"annual_2023","2023-04-22",0,NA,"Inside, carpeted",17.5,14,3,1,"1.40",NA,1,"1.31",NA,1,"1.40",NA,1,0,1,0,0,0,NA
3803,"annual_2023","2023-05-20",0,NA,"Inside my house. Carpet",18.5,15,1,1,"7.48",NA,1,"8.85",NA,1,"9.45",NA,0,0,1,0,0,0,NA
3816,"annual_2023","2023-05-20",0,NA,"Outdoor Stairway, Tred Material is Trex.",19,9,3,1,"2.17",NA,1,"2.25",NA,1,"2.31",NA,1,0,1,0,0,0,NA
3833,"annual_2023","2023-05-20",0,NA,"Basement stairs, wood.",20.5,14,3,1,"2.49",NA,1,"2.5",NA,1,"2.2",NA,0,1,1,0,0,0,NA
4015,"annual_2023","2023-05-29",1,0,"Inside home. Solid wood open tread stair.",29.5,15,2,1,"3.1",NA,1,"2.8",NA,1,"2.6",NA,1,0,1,0,0,0,NA
4093,"annual_2022","2022-07-22",1,0,"Inside house, carpet",18,9,3,1,"2.32",NA,1,"2.01",NA,1,"1.64",NA,0,0,1,0,0,0,NA
4310,"annual_2023","2023-05-30",1,0,"from main part of house to/from basement. Basement and steps are carpeted.",20.5,13,1,1,"1.68",NA,1,"1.7",NA,1,"1.4",NA,0,0,1,0,0,0,NA
4506,"annual_2023","2023-04-08",1,1,"inside my house and are covered in carpet",18,11,5,1,"1.5",NA,1,"1.8",NA,1,"2",NA,1,0,0,0,0,0,NA
4525,"annual_2023","2023-05-13",1,0,"We used carpeted stairs in my house.",20.5,15,2,1,"7.21",NA,1,"7.04",NA,1,"7.39",NA,1,0,1,0,0,0,NA
4665,"annual_2023","2023-05-20",0,NA,"Inside my house",19,13,2,1,"1.35",NA,1,"1.85",NA,1,"1.75",NA,1,0,0,0,0,0,NA
4734,"annual_2023","2023-05-19",0,NA,"Stairs inside house where dog lives. Stairs are carpeted with a rug at the landing.",19,15,3,1,"2.01",NA,1,"2.20",NA,1,"2.11",NA,1,0,1,0,0,0,NA
4780,"annual_2023","2023-05-14",1,0,"inside house",20.5,13,4,1,"2.21",NA,1,"2.30",NA,1,"2.25",NA,1,0,1,1,0,0,NA
4826,"annual_2023","2023-05-08",0,NA,"Carpeted stairs from main floor to second floor",18,14,3,1,"2.33",NA,1,"1.55",NA,1,"1.80",NA,1,0,1,1,0,0,NA
4837,"annual_2023","2023-04-30",1,0,"inside our house with carpet",20.5,13,3,1,"1.35",NA,1,"1.28",NA,1,"1.17",NA,1,0,1,0,0,0,NA
4919,"annual_2022","2022-07-04",0,NA,"stairs inside house. bottom landing is ceramic tile with a rug. stairs and top landing are carpeted.",18.5,10,2,1,"2.27",NA,1,"2.67",NA,1,"2.61",NA,1,0,0,0,0,0,NA
5114,"annual_2023","2023-05-05",1,0,"Single flight of natural wood stairs off the back deck in my backyard.",19,17,1,1,"2.91",NA,1,"2.53",NA,1,"2.73",NA,1,0,0,0,0,0,NA
5318,"annual_2023","2023-05-10",0,NA,"back deck, wooded stairs",17,8,3,1,"1.95",NA,1,"1.72",NA,1,"1.62",NA,1,0,0,0,0,0,NA
5400,"annual_2023","2023-05-16",1,1,"inside my house-carpeted",20.5,12,2,1,"2.32",NA,1,"2.88",NA,1,"2.35",NA,1,0,1,0,0,0,NA
5452,"annual_2023","2023-04-30",0,NA,"wooden, outside of our home. Ridley uses these every day, several times a day to get in and out of our home",19,9,1,1,"1.05",NA,1,"1.68",NA,1,"1.23",NA,1,0,0,0,0,0,NA
5549,"annual_2023","2023-05-13",0,NA,"In a parking garage. Concrete surface.",16.5,13,2,1,"3.39",NA,1,"2.25",NA,1,"2.30",NA,1,0,1,0,0,0,NA
5652,"annual_2023","2023-05-21",0,NA,"In my house",20,14,2,1,"3.14",NA,1,"2.80",NA,1,"2.70",NA,1,0,1,0,0,0,NA
5670,"annual_2022","2022-08-09",0,NA,"Inside our house.",17.5,9,2,1,"1.94",NA,1,"1.85",NA,0,NA,"Petey (our other dog) escaped his confines and distracted both daddies and Lenny.",1,0,0,0,0,0,NA
5770,"annual_2023","2023-05-19",0,NA,"Concrete steps outside connecting parking lot to Truman State University stadium seating.",20.5,8,1,1,"28.0",NA,0,NA,"I didn't realize that three trials were requested. Bella would have gone up the stairs three times if I had asked her -- Bella has always loved stairs!",0,NA,"I didn't realize that three trials were requested. Bella would have gone up the stairs three times if I had asked her -- Bella has always loved stairs!",0,0,1,0,0,0,NA
6178,"annual_2023","2023-05-06",1,0,"House stairs  Carpet  7 steps",18,7,3,1,"3.35",NA,1,"2.85",NA,1,"3.3",NA,1,0,1,0,0,0,NA
6684,"annual_2023","2023-04-18",1,0,"wood stairs in the house",19,12,1,1,"2.19",NA,1,"2.22",NA,0,NA,"Freya ran off and refused to come back",0,0,1,0,0,0,NA
6717,"annual_2023","2023-05-11",0,NA,"Backyard and leading up to a large deck.  Wood steps with ballisters and handrail",32,11,3,1,"2.78",NA,1,"2.50",NA,1,"1.35",NA,1,0,0,0,0,0,NA
6799,"annual_2023","2023-04-23",0,NA,"stairs in our condo that Roux LOVES. they are carpeted",8,14,1,1,".01",NA,1,".01",NA,1,".02",NA,0,0,0,0,1,0,NA
6978,"annual_2023","2023-04-22",0,NA,"Back yard deck stairs",17.5,10,1,1,"3.87",NA,1,"2.66",NA,1,"2.35",NA,1,0,1,0,0,0,NA
7085,"annual_2023","2023-04-20",0,NA,"brick stairs outside my house",15,10,1,1,"2.28",NA,1,"2.26",NA,1,"2.13",NA,1,0,0,0,0,0,NA
7113,"annual_2022","2022-07-25",1,0,"Deck steps",19,16,2,1,"1.35",NA,1,"1.80",NA,1,"1.60",NA,1,0,1,0,0,0,NA
7335,"annual_2022","2022-07-17",0,NA,"Stone steps in a yard",18,10,3,1,"2.35",NA,1,"1.76",NA,1,"2.2",NA,1,0,1,0,0,0,NA
7348,"annual_2022","2022-07-31",1,0,"stairs in the house",16.5,8,2,1,".76",NA,1,".85",NA,1,".65",NA,1,0,0,0,0,0,NA
7399,"annual_2023","2023-04-29",0,NA,"inside my house with carpet",20.5,8,1,1,"10.5",NA,1,"10.5",NA,1,"10.5",NA,1,0,0,0,0,0,NA
7448,"annual_2023","2023-04-15",1,0,"Inside house from basement to first floor.",20,11,3,1,"3.45",NA,1,"3.37",NA,1,"3.89",NA,0,0,1,0,0,0,NA
7772,"annual_2023","2023-05-21",1,1,"from 1st to second floor wood stairs",21,10,3,1,"01.90",NA,1,"01.86",NA,1,"01.76",NA,1,0,1,0,0,0,NA
7800,"annual_2023","2023-05-19",0,NA,"From basement to first floor",19.5,12,1,0,NA,"He tripped & fell down then turned around and went down the stairs to the bottom. I timed him coming up the second attempt and recorded 1:14.65   (Over 1 minute) and had to physically help him at the last couple of stairs.",0,NA,"After the first test, I got him to the top step and decided not to make him do stairs again.",0,NA,"He just turned 14 and has had 2 CCL tears in his back legs. I didn't want to push him further with another test run.",1,0,1,1,0,0,NA
7819,"annual_2023","2023-05-17",1,0,"Outside of barn, wood",20,18,2,1,"3.67",NA,1,"3.01",NA,1,"3.03",NA,0,1,0,0,0,0,NA
7989,"annual_2023","2023-05-22",0,NA,"inside my house",8,8,4,1,"4.64",NA,1,"4.87",NA,1,"3.81",NA,1,0,1,0,0,0,NA
8037,"annual_2022","2022-06-16",0,NA,"In my house",15,15,2,1,"5.3",NA,1,"4.6",NA,1,"3.9",NA,1,0,1,0,0,0,NA
8042,"annual_2022","2022-07-24",0,NA,"Carpet stairs inside the house",19.5,12,3,1,"2.05",NA,1,"1.88",NA,1,"2.15",NA,1,0,1,0,0,0,NA
8202,"annual_2023","2023-05-21",1,0,"inside my house , upper floor to lower floor. carpet until top step of wood",20,15,2,1,"1.9",NA,1,"1.76",NA,1,"1.85",NA,0,0,0,0,0,1,"treat & train treat dispenser"
8553,"annual_2023","2023-05-11",1,0,"House stairs, carpet.",19,8,3,1,"1.3",NA,1,"1.1",NA,1,"1.00",NA,1,0,0,0,0,0,NA
9036,"annual_2023","2023-05-14",1,0,"Inside my house. Wood with carpet pads.",23,9,3,1,"2.84",NA,1,"2.47",NA,1,"3.35",NA,1,0,0,0,0,0,NA
9075,"annual_2023","2023-05-15",1,0,"On a concrete set of stairs leading from one street level to another between Hickory Ave and Olive Ave. We started at the 3rd landing from the top and Cowboy ran up to the second landing from the top. He has walked and run up and down this area many times over the years.",17,12,2,1,"1.80",NA,1,"1.59",NA,1,"1.63",NA,1,0,1,0,0,0,NA
9141,"annual_2023","2023-05-18",0,NA,"Uncle Mark's front porch stairs, Cedar wood.",20,12,2,1,"2.30",NA,1,"2.80",NA,1,"2.13",NA,0,0,1,0,0,0,NA
9280,"annual_2023","2023-05-18",1,0,"Concrete steps up from the ground to the front door",18,8,3,1,"2.89",NA,1,"2.78",NA,1,"2.98",NA,1,0,0,1,0,0,NA
