COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(S)1_Batch4,QC(S)2_Batch4,QC(S)3_Batch4,QC(S)4_Batch4,QC(S)5_Batch4,QC(S)6_Batch5,QC(S)7_Batch5,QC(S)8_Batch5,QC(S)9_Batch5,QC(S)10_Batch5,QC(S)11_Batch6,QC(S)12_Batch6,QC(S)13_Batch6,QC(S)14_Batch6,QC(S)15_Batch6,QC(S)16_Batch7,QC(S)17_Batch7,QC(S)18_Batch7,QC(S)19_Batch7,QC(S)20_Batch7
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Oxobutyrate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gamma-Aminobutyrate,80993,81975,77939,76650,71730,73871,78734,73319,70384,74156,72675,66800,67196,64152,68434,64924,66011,62896,64752,61938,11708,12950,12996,10330,12306,11337,10544,10447,11114,11506,9743,10524,9458,11519,9556,11308,10042,9632,12280,12474
Malonic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3HBA,7016453,6989980,7010030,6952742,6987226,6976251,6928105,6759754,6712835,6628239,6698166,6492348,6590330,6463293,6429969,6514943,6387035,6393810,6296294,6278767,2866742,2850561,2988533,2886002,2849268,2889039,2867850,2787267,2737717,2739284,2722550,2694391,2700476,2727432,2721992,2721193,2659838,2706700,2724754,2680272
2-Hydroxyisobutyrate/2-Hydroxybutyrate,11198246,11300975,11357526,11281490,11254618,11189212,11076933,10798363,10593940,10573483,10657466,10292287,10358094,10245298,10213026,10399514,10102148,10201650,10106774,9961542,7629895,7683386,7636284,7494144,7602582,7504223,7540232,7437920,7358617,7202174,7210455,6972415,7187558,7166412,7168631,7068560,6977962,7085106,7074194,7021521
Glycerate,1304181,1206007,1273997,1182969,1158155,1164254,1152044,1146750,1002751,1167036,1136469,1118697,1198988,1148416,1140727,1084623,1123709,1064010,1033963,747406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uracil,55049,53702,58754,54550,56294,55847,59884,58428,59408,58447,57879,51074,57811,59260,58804,57938,56223,50926,50482,59159,113915,116596,114024,118569,116799,110488,118831,118604,118289,115597,107342,108792,118700,115365,119155,117607,112192,105102,109189,114131
Fumaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maleic Acid,170466,164683,155603,161903,146209,153020,158679,142622,140112,147843,141728,172571,144152,154715,143196,149091,148986,152959,151722,151264,96371,94168,91766,88733,86661,92666,89812,86576,87969,87984,96110,84860,91702,84428,84253,90131,95358,90533,92156,98530
N-AcetylGlycine,195559,175237,194829,187840,169100,178472,176825,175627,159052,166082,182971,162332,166546,161488,157180,164188,171267,170844,160111,152521,59258,51551,53358,50509,55358,48719,50334,49748,51688,45323,54875,47448,50454,49540,52890,45436,50876,52931,47663,50264
Guanidinoacetate,119989,118501,117029,118349,117421,118301,104537,107141,97648,106456,111864,102051,103953,96363,97880,94903,84814,99789,84256,85939,201665,206720,209027,184236,195448,186834,183497,168723,183014,176632,170441,164822,166199,170329,151884,165352,129738,155798,164200,157250
2-Hydroxyisovaleric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Succinate,3395338,2941117,2822239,2725842,2924246,2858410,2834048,2939622,2715463,2640000,2655944,2464653,2886204,2786722,2669859,2904900,2770930,2778957,2823316,2667304,1501401,1263834,1177433,1133146,1147209,1204442,1153944,1164223,1145101,1133195,1116976,1179591,1259301,1286660,1197956,1217568,1227996,1200093,1251881,1253023
Methylmalonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,179408,174504,181018,176768,175149,161889,178401,153760,153863,157499,154151,146830,142235,144585,146874,145282,138576,136147,140596,136296
3-Hydroxyisovaleric Acid,1182626,1242177,1280156,1251437,1192029,1270530,1233126,1144989,1142081,1178972,1196434,1133339,1156582,1119798,1137457,1141581,1111388,1116888,1157469,1074734,7032550,7150141,7107732,7123235,7201729,7075513,7182226,7064468,6967602,6990635,7067823,6878943,6887526,6838583,6889095,6927458,6882672,6918995,6927284,6891034
Erythrose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threitol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicotinic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Picolinic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thymine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citraconic Acid,372734,399680,406343,385730,343969,371738,392368,371578,367164,344710,376015,340487,361260,344658,355438,350805,342852,342984,347344,349163,280546,295823,281077,297359,254616,271412,261319,275499,260164,254117,271497,262850,259816,260021,259476,254075,264761,263977,251814,268248
2-oxo-Isocaproic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Itaconic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Alanine,673735,676596,673942,645817,667984,655247,670296,681073,641230,678774,625113,608737,666189,640850,664995,643198,643849,626756,656589,635540,495706,483677,493311,474474,481368,502977,473700,481406,455756,457451,446655,444932,481935,495060,495221,478422,507444,473940,474625,482525
MethylSuccinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-Leucic Acid,1219943,1249854,1255478,1276844,1295376,1249309,1286417,1241777,1213548,1309164,1235001,1283026,1210568,1193468,1171047,1188767,1221002,1181651,1149713,1170234,1255334,1265745,1253494,1208001,1229140,1195164,1204535,1166444,1158794,1202873,1167343,1191531,1126726,1117473,1132258,1148515,1151502,1134809,1145177,1179160
Glutaric Acid,41743,39975,38134,35013,36136,37435,41761,36240,41487,39566,36399,36071,34241,34271,34872,34573,34204,33130,33104,34071,61962,61699,56870,63039,62251,64855,64995,61122,57132,63678,63153,64847,62607,58667,54769,53610,62461,63438,59049,65266
Oxalacetate,91896,95934,85729,93717,86987,82039,78391,79879,80492,79579,76525,71248,71984,71839,86406,74903,89113,71986,75617,74455,66847,59921,63094,55677,61768,55450,53404,53634,54521,58965,51432,58571,52900,52421,48265,49809,55423,51541,50891,52615
Ethylmalonic acid,262486,253719,254546,240231,225034,228606,216383,204545,218080,201022,211657,212965,220279,214310,210996,203007,207159,203614,190426,189069,263692,272304,268981,253852,260779,234759,247909,224580,230843,238705,225953,228501,225904,221120,217031,224760,218446,216404,209951,210758
N-Carbamoyl-B-Alanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50061,46178,49531,43086,48181,47149,43177,47168,43694,43113,43640,42792,44529,42505,42223,44526,44362,41847,41466,41337
Malate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allopurinol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hypoxanthine,12361501,12547277,12340686,12048229,12132877,11813686,11898033,11674310,11324211,11047148,11564272,10819968,10906448,10926667,10751094,11152221,10839049,10793273,10625181,10547784,1255486,1273803,1191582,1252782,1202978,1160219,1207377,1159880,1105445,1151463,1150420,1115101,1095837,1130246,1120193,1136972,1089948,1132283,1097806,1083676
Phenylacetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erythronic/Threonic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthranilic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25890,24834,27915,23935,28725,24104,25961,25931,28747,27458,26160,26787,27220,24582,27748,28192,27345,28284,27372,26258
4-Hydroxybenzoic Acid,1773594,1829643,1867886,1867896,1784997,1828599,1803628,1813173,1761154,1649740,1734375,1696176,1597817,1590785,1672136,1702819,1550804,1652893,1664372,1549203,90482,92699,88425,89029,85461,85997,89865,83042,83280,83241,91056,84412,85712,83338,75052,80356,81571,84865,84926,81645
Acetylphosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
o-Phosphoethanolamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84674,87628,90600,85341,78817,84252,94202,94316,93014,86730,87166,92947,90297,87802,87099,90590,83010,91510,83282,86276
n-isoButyrylglycine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adipic Acid / 3-Methylglutaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpha-Ketoglutaric Acid,1540403,1487305,1422806,1447550,1445465,1446207,1426550,1313417,1344080,1406659,1357528,1302117,1336465,1400781,1326591,1271896,1318331,1246880,1285487,1253283,2407384,2315350,2238408,2222808,2257870,2164226,2053177,2007751,2140088,2140979,2124430,2217075,2247907,2164859,2173030,2311083,2183662,2312576,2381925,2286048
2-Methylglutaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mevalonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxyglutarate,859428,845714,823605,786533,764181,743547,688236,661922,668912,615601,611588,579564,569875,532489,497538,387608,353298,392503,356776,363664,708003,713148,679613,617161,582838,571226,564827,478952,521543,525649,458443,475557,441067,434615,340613,344052,189081,369425,261112,281323
Citramalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-Tartaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alpha-Ketophenylacetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hydrocinnamic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oxypurinol,272323,263600,275487,268325,272499,272558,277466,268688,241191,252421,254003,250771,247464,261321,252614,253496,255799,255478,266454,266491,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthine,1971075,2001163,2023436,1977380,1985037,1946438,1930790,1898819,1844596,1850063,1828860,1822417,1823404,1797522,1799043,1870010,1816643,1794518,1799497,1781988,743038,765574,735435,746550,737916,729121,728839,736196,701320,693595,709699,685288,714217,721118,700478,714223,694333,709080,708748,701346
2-Hydroxyphenylacetate,54198,49989,54194,56411,67645,59402,55370,56425,47106,51340,49781,53754,61368,61538,53491,53556,53569,57452,59414,52472,76715,74386,75060,73180,64180,65613,66062,69681,74751,72205,64125,66314,71577,70820,63201,67358,65074,64634,67170,63808
L-Mandelic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arabitol/Xylitol,215509,236524,230601,216547,252595,208227,232820,220765,217356,211009,222857,218299,221516,202968,207342,221747,205151,209686,211186,223186,110617,98107,125887,129720,121830,119769,121523,125364,116722,113151,107806,119205,117237,107582,102385,105039,109814,112074,106585,106107
3/4-Hydroxyphenylacetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Hydroxyanthranilic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dopamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Sulfinoanaline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2,3-Dihydroxybenzoic Acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Orotate,212543,166974,169601,157858,134030,151162,164088,143318,133053,126179,125521,123289,134633,137996,145336,129310,131745,123673,132583,125046,503557,418023,388333,374348,365248,369010,409492,322195,324023,327281,336267,313531,366365,354786,334828,331277,338766,337749,288564,339793
Allantoin,298674,314649,307371,295895,312092,313528,302659,288158,292926,284408,287857,281963,284148,277366,282515,283545,284209,279429,283900,262588,9489433,9296384,9309653,9331067,9069730,9180675,9173374,9038973,8728470,8654241,8621579,8428312,8636958,8823495,8672160,8736233,8616209,8856524,8705255,8794159
n-isoValerylglycine,20600,20325,21284,20839,21395,21805,20521,22083,21673,20766,17737,19843,18804,16542,16621,19001,19751,17069,16169,20419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoadipate,93430,92839,91416,94554,89625,80256,89019,83425,82314,77643,81443,72034,73964,73649,73554,76848,75812,82339,78212,74327,60199,56619,50029,54569,50029,49715,51235,54183,52106,51205,48126,51076,48007,48623,44839,45924,46019,44586,45161,45741
Indole-3-Carboxylic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indole-2-Carboxylic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Methyl-3-Hydroxyglutaric Acid,14688,13120,11680,13754,11311,11494,11416,12259,11868,11591,13496,9775,11416,11437,11794,10447,10276,10866,10637,10912,25309,24332,27087,26270,22692,22292,20467,24412,21890,25481,24920,23105,24424,24831,22020,21261,21672,21743,22065,23778
PPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11922,12460,11417,12841,11310,12322,11498,12532,11821,10869,12621,10026,11701,11710,13910,13268,13063,10289,12473,10658
3-Hydroxycinnaminic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
p-Coumaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenyllactic Acid,390237,584802,519952,524981,509026,459336,470346,467037,458397,504328,458843,481911,425324,454070,445270,471078,500663,474863,474234,500808,582158,648838,638467,618277,629590,594950,631096,658097,619253,623844,649216,643468,591493,590970,602659,564107,561257,548116,582638,603769
3-(4-Hydroxyphenyl)Propionate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quinolinic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homogentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Urate,34914041,34947090,33977101,33469909,33137849,32166286,30172556,31150219,30661420,31748697,30172731,29508355,28382556,28873571,28472195,27287117,27718993,27210226,27172376,27350884,4057627,3140377,3102338,2925042,2629061,2672972,2576174,2425083,2431426,2420328,2387700,2376425,2302524,2320227,2100364,2028287,2353146,2226469,2131077,2118156
DHAP/D-GA3P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerol-3-P,247778,249648,242983,243388,245810,232864,227307,223224,216316,218252,201197,202340,207178,209052,195863,195694,204446,205616,199252,206132,186192,184425,187682,177322,178709,189241,177645,169205,169636,157884,154488,139126,167920,155692,162401,157959,173984,171013,162913,166766
trans-Aconitate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shikimic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
