"dog_id","Sample_Year","DAP_Sample_ID","krt_urine_col_meth","krt_urine_volume","krt_urine_transparency","krt_urine_sg","krt_urine_glucose","krt_urine_bilirubin","krt_urine_ketones","krt_urine_blood_hbg","krt_urine_ph","krt_urine_protien","krt_urine_wbc_hpf","krt_urine_rbc_hpf","krt_urine_squamous_hpf","krt_urine_urothelial_hpf","krt_urine_casts","krt_urine_casts_2","krt_urine_casts_3","krt_urine_casts_lpf","krt_urine_casts_lpf_2","krt_urine_casts_lpf_3","krt_urine_crystals","krt_urine_crystals_2","krt_urine_crystals_3","krt_urine_crystals_hpf","krt_urine_crystals_hpf_2","krt_urine_crystals_hpf_3","krt_urine_amorph_debris_hpf","krt_urine_bacteria","krt_urine_fat_hpf","krt_urine_color","krt_urine_test_comments"
273,"precision_2","273-precision_2-Urine","Free Catch","1-3 mL","Clear","1.056","Negative","1+","Negative","Negative",7,"Trace","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Dark Straw",NA
310,"precision_1","310-precision_1-Urine","Free Catch",">3 mL","Flocculent","1.056","Negative","1+","Negative","Negative",6.5,"Trace","orig Few harm 0-3","orig 0-5 harm 0-3","Rare","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite","Calcium Oxalate Dihydrate",NA,"Moderate","Many",NA,"Few","None Observed","Moderate","Yellow","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture.Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings."
310,"precision_2","310-precision_2-Urine","Free Catch","1-3 mL","Flocculent","1.050","Negative","Negative","Negative","Negative",7,"Trace","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate","Struvite",NA,"Many","Moderate",NA,NA,"Cocci","Moderate","Straw",NA
310,"precision_3","310-precision_3-Urine","Free Catch","1-3 mL","Flocculent","1.050","Negative","Negative","Negative","Trace",7.5,"1+","None Observed","None Observed","0-3","None Observed","Hyaline",NA,NA,"Rare",NA,NA,"Struvite","Calcium Oxalate Dihydrate",NA,"Rare","Many",NA,NA,NA,"Rare","Straw","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings. "
540,"precision_1","540-precision_1-Urine","Free Catch",">3 mL","Hazy","1.049","Negative","1+","Negative","1+",7,"Trace","orig 0-5 harm 0-3","Too Numerous to Count","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Gold",NA
540,"precision_2","540-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.050","Negative","2+","Negative","Negative",6,"Trace","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Amber","icto positive"
540,"precision_3","540-precision_3-Urine","Free Catch",">3 mL","Clear","1.038","Negative","1+","Negative","Negative",6.5,"Trace","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Straw",NA
613,"precision_1","613-precision_1-Urine","Free Catch",">3 mL","Flocculent","1.040","Negative","1+","Negative","Negative",7.5,"Trace","orig 0-5 harm 0-3","None Observed","Rare","orig Few harm 0-3","Hyaline",NA,NA,"Rare",NA,NA,"Struvite",NA,NA,"Few",NA,NA,"Few","None Observed","Many","Yellow","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture."
613,"precision_2","613-precision_2-Urine","Voided",">3 mL","Flocculent","1.045","Negative","Negative","Negative","Negative",7,"Trace","0-3","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,NA,NA,"Few","Yellow",NA
613,"precision_3","613-precision_3-Urine","Free Catch",">3 mL","Slightly Hazy","1.027","Negative","Negative","Negative","Negative",6,"Negative","3-6","0-3","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
692,"precision_1","692-precision_1-Urine","Free Catch",">3 mL","Slightly Hazy","1.033","Negative","Negative","Negative","Negative",6.5,"Negative","3-6","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Rare",NA,NA,NA,"None Observed","Moderate","Yellow",NA
695,"precision_1","695-precision_1-Urine","Free Catch","1-3 mL","Clear","1.023","Negative","Negative","Negative","Negative",6.5,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"Few","Mixed Population","None Observed","Pale Straw","Checked by EJ."
695,"precision_2","695-precision_2-Urine","Unknown","1-3 mL","Slightly Cloudy","1.030","Negative","Negative","Negative","Negative",6,"Negative","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Mixed Population","Rare","Straw","Budding yeast and hyphae were present on microscopic examination."
695,"precision_3","695-precision_3-Urine","Free Catch",">3 mL","Hazy","1.022","Negative","Negative","Negative","Negative",6,"Negative","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rod Shaped Bacteria","Few","Pale Straw","Budding yeast and/or hyphae were present on microscopic examination."
760,"precision_1","760-precision_1-Urine","Free Catch",">3 mL","Clear","1.058","Negative","1+","Negative","Negative",6.5,"1+","orig 0-5 harm 0-3","Rare","orig Few harm 0-3","orig Few harm 0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Few","Gold",NA
760,"precision_2","760-precision_2-Urine","Cystocentesis",">3 mL","Slightly Hazy","1.056","Negative","Negative","Negative","Negative",6,"1+","0-3","0-3","None Observed","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow",NA
760,"precision_3","760-precision_3-Urine","Cystocentesis",">3 mL","Hazy","1.039","Negative","Negative","Negative","Negative",7.5,"1+","0-3","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Dark Yellow",NA
766,"precision_1","766-precision_1-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.023","Negative","Negative","Negative","Negative",7,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Straw",NA
766,"precision_2","766-precision_2-Urine","Cystocentesis","1-3 mL","Clear","1.011","Negative","Negative","Negative","Negative",6,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"None Observed","Pale Straw",NA
981,"precision_1","981-precision_1-Urine","Free Catch","1-3 mL","Clear","1.033","Negative","1+","Negative","Negative",6,"Negative","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Gold","Icto positive"
981,"precision_2","981-precision_2-Urine","Unknown",">3 mL","Hazy","1.043","Negative","1+","Negative","Negative",6,"Trace","0-3","3-6","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
991,"precision_1","991-precision_1-Urine","Cystocentesis",">3 mL","Clear","1.009","Negative","Negative","Negative","Negative",6.5,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Light Yellow",NA
991,"precision_2","991-precision_2-Urine","Free Catch",">3 mL","Flocculent","1.034","Negative","1+","Negative","Negative",8,"1+","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Moderate",NA,NA,NA,NA,"Rare","Yellow","ictotest positive"
991,"precision_3","991-precision_3-Urine","Free Catch",">3 mL","Slightly Hazy","1.021","Negative","Negative","Negative","Negative",8.5,"2+","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Light Yellow",NA
1148,"precision_1","1148-precision_1-Urine","Free Catch","1-3 mL","Hazy","1.048","Negative","Negative","Negative","Negative",6,"Trace","orig Few harm 0-3","Rare","Rare","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Moderate",NA,NA,NA,"None Observed","Many","Straw","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings. "
1238,"precision_1","1238-precision_1-Urine","Free Catch",">3 mL","Hazy","1.045","Negative","1+","Negative","Trace",6,"Trace","3-6","10-20","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Yellow",NA
1238,"precision_2","1238-precision_2-Urine","Free Catch",">3 mL","Hazy","1.022","Negative","Negative","Negative","Negative",6,"Negative","10-20","0-3","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Degenerating","Many","Pale Yellow",NA
1443,"precision_1","1443-precision_1-Urine","Cystocentesis",">3 mL","Clear","1.051","Negative","Negative","Negative","Negative",7,"Negative","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Many","Gold","Checked by EJ."
1443,"precision_2","1443-precision_2-Urine","Cystocentesis","1-3 mL","Slightly Cloudy","1.041","Negative","1+","Negative","Negative",8,"Trace","0-3","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,NA,NA,"Many","Yellow","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture."
1443,"precision_3","1443-precision_3-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.043","Negative","1+","Negative","2+",7,"Trace","0-3","Too Numerous to Count","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"None Observed","Straw",NA
1530,"precision_1","1530-precision_1-Urine","Free Catch",">3 mL","Cloudy","1.028","Negative","Negative","Negative","Negative",8.5,"1+","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Rare",NA,NA,"Few",NA,"Rare","Yellow","Ictotest negative. Checked by EJ."
1530,"precision_2","1530-precision_2-Urine","Free Catch","1-3 mL","Hazy","1.025","Negative","Negative","Negative","Negative",6,"Negative","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Rod Shaped Bacteria","Few","Pale Yellow","Budding yeast was present on microscopic examination."
1530,"precision_3","1530-precision_3-Urine","Cystocentesis","1-3 mL","Clear","1.016","Negative","Negative","Negative","Negative",8,"Negative","None Observed","None Observed","None Observed","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Light Yellow",NA
1547,"precision_1","1547-precision_1-Urine","Free Catch",">3 mL","Clear","1.027","Negative","Negative","Negative","Negative",7.5,"Negative","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow",NA
1547,"precision_2","1547-precision_2-Urine","Free Catch",">3 mL","Flocculent","1.039","Negative","Negative","Negative","1+",7.5,"Trace","3-6","0-3","6-10","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Many",NA,NA,NA,NA,"Moderate","Dark Straw","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture. "
1642,"precision_1","1642-precision_1-Urine","Cystocentesis",">3 mL","Clear","1.032","Negative","Negative","Negative","Negative",6,"2+","None Observed","None Observed","0-3","None Observed","Hyaline",NA,NA,"Rare",NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Moderate",NA,NA,NA,NA,"Few","Yellow","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings. "
1646,"precision_1","1646-precision_1-Urine","Free Catch",">3 mL","Hazy","1.028","Negative","Negative","Negative","1+",6,"1+","0-3","0-3","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Yellow",NA
1646,"precision_2","1646-precision_2-Urine","Cystocentesis",">3 mL","Hazy","1.022","Negative","Negative","Negative","Negative",7.5,"1+","0-3","0-3","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow","Many spermatozoa were observed on the sediment exam. "
1777,"precision_1","1777-precision_1-Urine","Free Catch",">3 mL","Clear","1.026","Negative","Negative","Negative","Negative",6.5,"Negative","orig Few harm 0-3","None Observed","Rare","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Straw",NA
1777,"precision_2","1777-precision_2-Urine","Free Catch","1-3 mL","Flocculent","1.017","Negative","Negative","Negative","Negative",8,"Negative","3-6","0-3","3-6","3-6","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Light Yellow",NA
1785,"precision_1","1785-precision_1-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.014","Negative","Negative","Negative","Negative",6,"Negative","0-3","3-6","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Yellow","Blood dipstick result verified by repeat analysis. "
1803,"precision_1","1803-precision_1-Urine","Cystocentesis","1-3 mL","Hazy","1.024","Negative","Negative","Negative","Negative",7,"Negative","orig 20-40 harm 20-40","None Observed","None Observed","Rare","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Rod Shaped Bacteria","Rare","Pale Straw",NA
1824,"precision_1","1824-precision_1-Urine","Cystocentesis","1-3 mL","Clear","1.046","Negative","1+","Negative","Negative",6.5,"Negative","None Observed","orig Few harm 0-3","Rare","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","Few","Yellow",NA
1824,"precision_2","1824-precision_2-Urine","Catheter","1-3 mL","Clear","1.044","Negative","1+","Negative","Negative",6.5,"Trace","3-6","None Observed","0-3","6-10","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Yellow","Uros appeared uniform. icto +"
1824,"precision_3","1824-precision_3-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.043","Negative","1+","Negative","Negative",6.5,"1+","0-3","0-3","0-3","None Observed","Hyaline",NA,NA,"Few",NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Few","Dark Yellow",NA
1914,"precision_1","1914-precision_1-Urine","Free Catch",">3 mL","Flocculent","1.060","Negative","Negative","Negative","Negative",7,"Trace","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate","Struvite",NA,"Rare","Few",NA,NA,"None Observed","None Observed","Dark Straw",NA
1914,"precision_2","1914-precision_2-Urine","Free Catch",">3 mL","Hazy","1.048","Negative","Negative","Negative","Negative",7.5,"1+","None Observed","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Degenerating",NA,NA,"Many",NA,NA,NA,NA,"Many","Yellow",NA
1986,"precision_1","1986-precision_1-Urine","Free Catch",">3 mL","Cloudy","1.051","Negative","1+","Negative","Negative",6,"1+","orig 20-40 harm 20-40","orig 0-5 harm 0-3","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"Few","None Observed","Few","Yellow",NA
1986,"precision_2","1986-precision_2-Urine","Catheter","1-3 mL","Hazy","1.035","Negative","1+","Negative","3+",6,"1+","0-3","10-20","6-10","3-6","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow",NA
1986,"precision_3","1986-precision_3-Urine","Free Catch","1-3 mL","Flocculent","1.044","Negative","Negative","Negative","Negative",7.5,"1+","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,NA,NA,"Moderate","Straw","In general, struvite crystalluria is most commonly seen with urinary tract infections and less commonly with other urinary changes and in clinically healthy animals. The presence of struvite crystals does not confirm the presence of struvite uroliths. Crystals can be present without uroliths, and vice versa. If clinically indicated, abdominal imaging may be warranted to rule out uroliths. The significance of the struvite crystals should be interpreted in conjunction with the full clinical history, urinalysis, and urine culture. "
2198,"precision_1","2198-precision_1-Urine","Voided",">3 mL","Slightly Hazy","1.034","Negative","Negative","Negative","Negative",6.5,"Negative","orig Few harm 0-3","None Observed","Rare","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Few","Yellow",NA
2386,"precision_1","2386-precision_1-Urine","Free Catch",">3 mL","Hazy","1.022","Negative","Negative","Negative","Negative",6.5,"Negative","orig 0-5 harm 0-3","Rare","orig Few harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Few",NA,NA,NA,"None Observed","Many","Yellow","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings. "
2386,"precision_2","2386-precision_2-Urine","Free Catch","1-3 mL","Hazy","1.038","Negative","Negative","Negative","Negative",7,"Trace","0-3","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,NA,NA,"Many","Pale Yellow",NA
2386,"precision_3","2386-precision_3-Urine","Free Catch",">3 mL","Hazy","1.025","Negative","Negative","Negative","Negative",6,"Negative","0-3","None Observed","0-3","None Observed","Hyaline",NA,NA,"Rare",NA,NA,"Calcium Oxalate Dihydrate",NA,NA,"Moderate",NA,NA,NA,NA,"Moderate","Pale Yellow",NA
2560,"precision_1","2560-precision_1-Urine","Cystocentesis","1-3 mL","Slightly Hazy","1.049","Negative","Negative","Negative","Negative",6,"Trace","0-3","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow","Checked by CW"
2591,"precision_1","2591-precision_1-Urine","Free Catch","1-3 mL","Clear","1.024","Negative","Negative","Negative","1+",7,"Negative","None Observed","Rare","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Straw",NA
2591,"precision_2","2591-precision_2-Urine","Free Catch","1-3 mL","Cloudy","1.041","Negative","1+","Negative","Negative",8,"1+","0-3","3-6","None Observed","0-3","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Few",NA,NA,NA,NA,"Moderate","Yellow","Checked by KP"
2591,"precision_3","2591-precision_3-Urine","Free Catch",">3 mL","Slightly Cloudy","1.030","Negative","Negative","Negative","1+",7.5,"1+","0-3","3-6","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Many","Yellow",NA
2775,"precision_2","2775-precision_2-Urine","Unknown",">3 mL","Slightly Hazy","1.024","Negative","Negative","Negative","Negative",8.5,"2+","None Observed","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
2806,"precision_1","2806-precision_1-Urine","Cystocentesis",">3 mL","Slightly Hazy","1.031","Negative","Negative","Negative","Trace",6.5,"1+","0-3","None Observed","0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"Bilirubin",NA,NA,"Rare",NA,NA,NA,NA,"None Observed","Straw",NA
