"dog_id","Sample_Year","DAP_Sample_ID","krt_cbc_total_wbcs","krt_cbc_abs_metamyelocytes","krt_cbc_abs_bands","krt_cbc_abs_neutrophils","krt_cbc_abs_lymphocytes","krt_cbc_abs_monocytes","krt_cbc_abs_eosinophils","krt_cbc_abs_basophils","krt_cbc_abs_other_cells","krt_cbc_rel_metamyelocytes","krt_cbc_rel_bands","krt_cbc_rel_neutrophils","krt_cbc_rel_lymphocytes","krt_cbc_rel_monocytes","krt_cbc_rel_eosinophils","krt_cbc_rel_basophils","krt_cbc_rel_other_cells","krt_cbc_rbc","krt_cbc_hgb","krt_cbc_hct","krt_cbc_pcv","krt_cbc_mcv","krt_cbc_mch","krt_cbc_mchc","krt_cbc_rdw","krt_cbc_plt","krt_cbc_mpv","krt_cbc_pct","krt_cbc_plt_quant","krt_cbc_plt_morph","krt_cbc_plt_morph_2","krt_cbc_plt_morph_num","krt_cbc_plt_morph_num_2","krt_cbc_nucleated_rbcs","krt_cbc_retic_per","krt_cbc_retic_abs","krt_cbc_rbc_morph","krt_cbc_rbc_morph_2","krt_cbc_rbc_morph_3","krt_cbc_rbc_morph_num","krt_cbc_rbc_morph_num_2","krt_cbc_rbc_morph_num_3","krt_cbc_wbc_morph","krt_cbc_wbc_morph_2","krt_cbc_wbc_morph_num","krt_cbc_hemoparasites","krt_cbc_test_comments"
310,"precision_1","310-precision_1-CBC",6.68,0,0.07,4.34,1.27,0.53,0.47,0,0,0,1,65,19,8,7,0,0,7.11,16.9,52,NA,73.1,23.8,32.5,13.7,497,13,0.65,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,0.82,58.3,"Crenation",NA,NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
310,"precision_2","310-precision_2-CBC",6.75,0,0,5.06,0.95,0.68,0.07,0,0,0,0,75,14,10,1,0,0,7.11,17.2,51,NA,71.7,24.2,33.7,14.1,NA,16.3,0.65,"Appear Adequate","Clumped",NA,"Marked",NA,1,1.01,71.8,"See Comments",NA,NA,NA,NA,NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
310,"precision_3","310-precision_3-CBC",7.24,0,0,5.43,0.72,0.8,0.29,0,0,0,0,75,10,11,4,0,0,6.87,17,50.4,NA,73.4,24.7,33.7,14.2,NA,12.1,0.54,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.89,61.4,"Crenation",NA,NA,"3+",NA,NA,"Dohle Bodies",NA,"1+","None Observed","Platelets were clumped on blood smear, but numbers appear to be at least adequate."
540,"precision_1","540-precision_1-CBC",9.07,0,0,6.62,1.81,0.45,0.18,0,0,0,0,73,20,5,2,0,0,8.17,20.4,60.4,NA,73.9,25,33.8,11.5,NA,16.4,0.32,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.76,61.8,"Crenation",NA,NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
540,"precision_2","540-precision_2-CBC",9.58,0,0,7.76,0.77,0.38,0.67,0,0,0,0,81,8,4,7,0,0,8.23,20.9,64.9,NA,78.9,25.4,32.2,11.4,211,13.2,0.28,"Appear Adequate",NA,NA,NA,NA,NA,0.41,33.9,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
540,"precision_3","540-precision_3-CBC",7.94,0,0,6.03,1.03,0.4,0.48,0,0,0,0,76,13,5,6,0,0,8.39,21,62,NA,73.9,25,33.9,11.2,255,11.9,0.3,"Appear Adequate",NA,NA,NA,NA,NA,0.36,30.3,"Crenation",NA,NA,"3+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
613,"precision_1","613-precision_1-CBC",9.37,0,0,7.03,1.41,0.37,0.56,0,0,0,0,75,15,4,6,0,0,7.07,18.5,55.5,NA,78.5,26.2,33.3,11.6,226,17.9,0.41,"Appear Adequate","Clumped",NA,"Mild",NA,1,0.88,62.3,"Crenation",NA,NA,"4+",NA,NA,"Dohle Bodies",NA,"1+","None Observed",NA
613,"precision_2","613-precision_2-CBC",6.35,0,0,4.13,1.59,0.19,0.44,0,0,0,0,65,25,3,7,0,0,7.83,20.2,59,NA,75.4,25.8,34.2,11.4,169,17.2,0.29,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.55,43.1,"Crenation","See Comments",NA,"4+",NA,NA,"Dohle Bodies",NA,"1+","None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
613,"precision_3","613-precision_3-CBC",7.73,0,0,5.26,1.55,0.31,0.62,0,0,0,0,68,20,4,8,0,0,7.13,19.4,54.2,NA,76,27.2,35.8,12.2,234,19.6,0.46,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,0.64,45.3,"Crenation",NA,NA,"3+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
692,"precision_1","692-precision_1-CBC",5.28,0,0,3.12,1.9,0.16,0.11,0,0,0,0,59,36,3,2,0,0,7.08,17.3,50.9,NA,71.9,24.4,34,12.1,294,15.9,0.47,"Appear Adequate",NA,NA,NA,NA,NA,0.98,69.1,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
695,"precision_1","695-precision_1-CBC",9.16,0,0,7.42,0.73,0.46,0.55,0,0,0,0,81,8,5,6,0,0,6.41,16.4,50,NA,78,25.6,32.8,11.9,NA,16.4,0.38,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.47,30.2,"Lipemia Artifacts Observed",NA,NA,NA,NA,NA,"See Comments",NA,NA,"None Observed","Lipemia is present in this sample and can distort the appearance of red blood cells for microscopic evaluation. The red blood cell morphology could not be fully assessed in this patient due to the lipemia. If clinically indicated, repeat analysis on a fasted sample is recommended.Many of the WBCs in this sample are deteriorated due to artifact (aging, temperature, mechanical rupture, etc.) and an accurate WBC morphology could not be obtained. It is recommended to submit 2-3 air dried smears prepared at the time of blood collection."
695,"precision_2","695-precision_2-CBC",9.28,0,0,7.24,0.74,0.09,1.21,0,0,0,0,78,8,1,13,0,0,6.63,16.7,51,NA,76.9,25.2,32.7,11.9,171,20.1,0.34,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.61,40.3,"See Comments",NA,NA,NA,NA,NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
695,"precision_3","695-precision_3-CBC",10.44,0,0,8.98,0.84,0.1,0.52,0,0,0,0,86,8,1,5,0,0,6.76,17.2,53,53,78.4,25.4,32.5,11.9,NA,16.3,0.33,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.65,44,"Crenation","See Comments",NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
760,"precision_1","760-precision_1-CBC",8.5,0,0,5.27,2.55,0.43,0.26,0,0,0,0,62,30,5,3,0,0,7.5,19.2,57.1,NA,76.1,25.6,33.6,11.8,220,12,0.26,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.89,66.6,"Crenation","Lipemia Artifacts Observed",NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed","Lipemia is present in this sample and can distort the appearance of red blood cells for microscopic evaluation. The red blood cell morphology could not be fully assessed in this patient due to the lipemia. If clinically indicated, repeat analysis on a fasted sample is recommended."
760,"precision_3","760-precision_3-CBC",6.38,0,0,4.72,1.28,0.13,0.26,0,0,0,0,74,20,2,4,0,0,7.64,20,58,58,75.9,26.2,34.5,11.7,209,14.5,0.3,"Appear Adequate","Clumped",NA,"Mild",NA,NA,1,76.6,"Crenation","Lipemia Artifacts Observed",NA,"1+",NA,NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. Lipemia is present in this sample and can distort the appearance of red blood cells for microscopic evaluation. The red blood cell morphology could not be fully assessed in this patient due to the lipemia. If clinically indicated, repeat analysis on a fasted sample is recommended."
766,"precision_1","766-precision_1-CBC",8.57,0,0,6.08,1.37,0.86,0.26,0,0,0,0,71,16,10,3,0,0,7.14,17,52.4,NA,73.4,23.8,32.4,11.5,254,10.4,0.26,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.47,33.7,"Crenation",NA,NA,"3+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
766,"precision_2","766-precision_2-CBC",7.89,0,0,5.44,1.58,0.47,0.39,0,0,0,0,69,20,6,5,0,0,7.98,17.8,55,55,68.9,22.3,32.4,12.2,411,11.7,0.48,"Appear Adequate",NA,NA,NA,NA,NA,1.41,112.1,"Crenation","Polychromasia","Lipemia Artifacts Observed","2+","1+",NA,"Unremarkable",NA,NA,"None Observed","Lipemia is present in this sample and can distort the appearance of red blood cells for microscopic evaluation. The red blood cell morphology could not be fully assessed in this patient due to the lipemia. If clinically indicated, repeat analysis on a fasted sample is recommended."
981,"precision_1","981-precision_1-CBC",5.7,0,0,3.36,1.82,0.17,0.34,0,0,0,0,59,32,3,6,0,0,8.63,20.4,59.8,NA,69.3,23.6,34.1,12.5,NA,12.1,0.18,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,1.5,129.6,"Crenation","Polychromasia",NA,"4+","1+",NA,"See Comments",NA,NA,"None Observed","Platelets were clumped on blood smear, but numbers appear to be at least adequate.Many of the WBCs in this sample are deteriorated due to artifact (aging, temperature, mechanical rupture, etc.) and an accurate WBC morphology could not be obtained. It is recommended to submit 2-3 air dried smears prepared at the time of blood collection."
981,"precision_2","981-precision_2-CBC",6.22,0,0,4.42,1.24,0.19,0.37,0,0,0,0,71,20,3,6,0,0,8.77,20.6,62.4,NA,71.2,23.5,33,13.3,234,9.2,0.22,"Appear Adequate",NA,NA,NA,NA,NA,0.7,61.8,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
991,"precision_1","991-precision_1-CBC",8.14,0,0,6.51,1.14,0.08,0.41,0,0,0,0,80,14,1,5,0,0,7.26,18.7,59,59,81.3,25.8,31.7,11.4,335,11.2,0.37,"Appear Adequate","Clumped",NA,"Mild",NA,NA,1.07,77.7,"Polychromasia","Crenation",NA,"1+","1+",NA,"Unremarkable",NA,NA,"None Observed",NA
991,"precision_2","991-precision_2-CBC",9.55,0,0,6.4,2.58,0.38,0.19,0,0,0,0,67,27,4,2,0,0,7.22,18.4,55.8,NA,77.3,25.5,33,11.6,296,14.5,0.43,"Appear Adequate",NA,NA,NA,NA,1,2.06,149.1,"Polychromasia",NA,NA,"1+",NA,NA,"Unremarkable",NA,NA,"None Observed","There is a reticulocytosis without an apparent anemia. General considerations include early or resolving anemia from blood loss or hemolysis, cardiac or pulmonary disease. In addition, reticulocytosis without anemia has been associated with dogs on anti-inflammatory drugs and with osteoarthritis. Serial monitoring of these values may clarify the clinical significance of the reticulocytosis."
991,"precision_3","991-precision_3-CBC",10.68,0,0,8.12,1.28,0.64,0.64,0,0,0,0,76,12,6,6,0,0,6.86,17.7,53.2,NA,77.6,25.8,33.3,12.5,NA,16.9,0.45,"Appear Adequate","Clumped",NA,"Marked",NA,1,2.13,146.2,"Crenation","Polychromasia",NA,"1+","1+",NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
1238,"precision_2","1238-precision_2-CBC",5.96,0,0,3.99,1.85,0,0.12,0,0,0,0,67,31,0,2,0,0,7.33,19.5,57.5,NA,78.4,26.6,33.9,12.7,NA,16.7,0.25,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.68,50.2,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed","Platelets were clumped on blood smear, but numbers appear to be at least adequate."
1443,"precision_2","1443-precision_2-CBC",3.79,0,0,2.39,0.99,0.19,0.23,0,0,0,0,63,26,5,6,0,0,6.66,17.6,53,NA,79.6,26.4,33.2,10.8,158,10.1,0.16,"Appear Decreased","Clumped",NA,"Mild",NA,NA,0.45,30.1,"Crenation",NA,NA,"4+",NA,NA,"See Comments",NA,NA,"None Observed","Many of the leukocytes in this sample are deteriorated due to artifact (aging, temperature, mechanical rupture, etc.) and an accurate WBC morphology could not be obtained. The neutrophils are degenerating making it difficult to distinguish if band forms are present. It is recommended to submit 2-3 air dried smears prepared at the time of blood collection."
1443,"precision_3","1443-precision_3-CBC",3.34,0,0,2,1.2,0,0.13,0,0,0,0,60,36,0,4,0,0,6.49,17.9,52,NA,80.1,27.6,34.4,11.1,220,16,0.35,"Appear Adequate",NA,NA,NA,NA,NA,0.63,41,"Crenation",NA,NA,"4+",NA,NA,"Dohle Bodies",NA,"1+","None Observed",NA
1530,"precision_1","1530-precision_1-CBC",8.71,0,0,6.36,1.57,0,0.78,0,0,0,0,73,18,0,9,0,0,7.97,19.8,65,65,81.6,24.8,30.5,10.9,254,14.4,0.37,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,1.16,92.7,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1530,"precision_2","1530-precision_2-CBC",8.96,0,0,4.57,2.69,0.09,1.61,0,0,0,0,51,30,1,18,0,0,7.56,18.1,56.1,NA,74.2,23.9,32.3,11.8,260,16.7,0.43,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.52,39.6,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1530,"precision_3","1530-precision_3-CBC",25.45,0,0,8.14,3.05,0,14.25,0,0,0,0,32,12,0,56,0,0,6.98,17.7,51.8,NA,74.2,25.4,34.2,13,238,9.9,0.24,"Appear Adequate",NA,NA,NA,NA,NA,1.55,108.4,"Crenation","Polychromasia",NA,"4+","1+",NA,"Unremarkable",NA,NA,"None Observed","Marked eosinophilia can be seen with heartworm disease, migrating parasites, eosinophilic inflammatory disease (i.e. lung or gastrointestinal) and with certain neoplasms (mast cell disease and lymphoma, most commonly). Correlate with clinical history and do not hesitate to contact us with any questions. There is a reticulocytosis without an apparent anemia. General considerations include early or resolving anemia from blood loss or hemolysis, cardiac or pulmonary disease. In addition, reticulocytosis without anemia has been associated with dogs on anti-inflammatory drugs and with osteoarthritis. Serial monitoring of these values may clarify the clinical significance of the reticulocytosis. "
1547,"precision_1","1547-precision_1-CBC",7.67,0,0,4.3,2.76,0.31,0.31,0,0,0,0,56,36,4,4,0,0,6.87,17.4,50.6,NA,73.7,25.3,34.4,12,NA,12.7,0.19,"Appear Adequate","Clumped",NA,"Moderate",NA,2,0.41,28,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1547,"precision_2","1547-precision_2-CBC",6.78,0,0,4.2,1.76,0.47,0.34,0,0,0,0,62,26,7,5,0,0,6.71,16.7,49.5,NA,73.8,24.9,33.7,12.4,194,14.2,0.28,"Appear Adequate","Clumped","Enlarged","Mild","1+",1,0.29,19.2,"Crenation",NA,NA,"3+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1642,"precision_1","1642-precision_1-CBC",5.4,0,0,3.35,0.86,0.16,1.03,0,0,0,0,62,16,3,19,0,0,8.72,18.7,57.6,NA,66.1,21.4,32.5,13.6,291,9.7,0.28,"Appear Adequate",NA,NA,NA,NA,NA,1.21,105.2,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed","Only rare poly seen"
1646,"precision_1","1646-precision_1-CBC",7.97,0,0,6.22,1.04,0.48,0.24,0,0,0,0,78,13,6,3,0,0,7.98,18.9,54.8,NA,68.7,23.7,34.5,12.1,NA,10.1,0.35,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,0.46,36.9,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1646,"precision_2","1646-precision_2-CBC",6.92,0,0,5.12,0.97,0.21,0.62,0,0,0,0,74,14,3,9,0,0,8.02,18.8,57.9,NA,72.2,23.4,32.5,12.6,NA,12,0.44,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.44,35.3,"Crenation","See Comments",NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
1777,"precision_2","1777-precision_2-CBC",8.54,0,0,6.32,1.02,0.77,0.43,0,0,0,0,74,12,9,5,0,0,6.24,15.6,47.3,NA,75.8,25,33,13.2,NA,11,0.42,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,0.86,53.4,"Crenation",NA,NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1785,"precision_1","1785-precision_1-CBC",8.45,0,0,5.41,2.11,0.68,0.25,0,0,0,0,64,25,8,3,0,0,7.04,17.3,53,53,75.3,24.6,32.6,11.8,243,8.4,0.41,"Appear Adequate",NA,NA,NA,NA,NA,1.4,98.8,"Crenation","Lipemia Artifacts Observed","See Comments","3+",NA,NA,NA,"Reactive Lymphocytes",NA,"None Observed","Lipemia is present in this sample and can distort the appearance of red blood cells for microscopic evaluation. The red blood cell morphology could not be fully assessed in this patient due to the lipemia. If clinically indicated, repeat analysis on a fasted sample is recommended.Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended."
1803,"precision_1","1803-precision_1-CBC",12.78,0,0,9.33,2.17,1.02,0.26,0,0,0,0,73,17,8,2,0,0,6.8,16.4,47.6,NA,70,24.1,34.5,13,NA,18.4,0.46,"Appear Adequate","Clumped",NA,"Marked",NA,NA,1.36,92.6,"Unremarkable",NA,NA,NA,NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1824,"precision_1","1824-precision_1-CBC",5.95,0,0,4.88,0.42,0.36,0.3,0,0,0,0,82,7,6,5,0,0,7.47,18.1,54.4,NA,72.8,24.2,33.3,11.9,210,13.3,0.28,"Appear Adequate",NA,NA,NA,NA,NA,0.74,55,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1824,"precision_2","1824-precision_2-CBC",5.29,0,0,3.81,0.79,0.37,0.32,0,0,0,0,72,15,7,6,0,0,7.66,18.6,54.7,NA,71.4,24.3,34,11.8,250,12.5,0.31,"Appear Adequate",NA,NA,NA,NA,NA,1.14,87,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1824,"precision_3","1824-precision_3-CBC",4.87,0,0,3.65,0.88,0.1,0.24,0,0,0,0,75,18,2,5,0,0,7.84,19.8,64.1,NA,81.8,25.3,30.9,11.3,303,16.6,0.5,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.99,77.7,"Crenation","See Comments",NA,"4+",NA,NA,"See Comments",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended.  Many of the WBCs in this sample are deteriorated due to artifact (aging, temperature, mechanical rupture, etc.) and an accurate WBC morphology could not be obtained. It is recommended to submit 2-3 air dried smears prepared at the time of blood collection."
1914,"precision_1","1914-precision_1-CBC",7.87,0,0,5.04,1.65,0.63,0.55,0,0,0,0,64,21,8,7,0,0,7.54,18,53.6,NA,71.1,23.9,33.6,12.1,NA,16,0.25,"Appear Adequate","Clumped",NA,"Marked",NA,NA,1.01,76.6,"Unremarkable",NA,NA,NA,NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1986,"precision_1","1986-precision_1-CBC",11.2,0,0,8.18,1.79,0.67,0.56,0,0,0,0,73,16,6,5,0,0,7.05,17.2,51.2,NA,72.6,24.4,33.6,12.4,314,10.5,0.33,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.74,52.2,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
1986,"precision_2","1986-precision_2-CBC",2.85,0,0,0.88,1.11,0.37,0.48,0,0,0,0,31,39,13,17,0,0,6.51,15.2,45.3,NA,69.6,23.3,33.6,14.3,296,14.9,0.44,"Appear Adequate","Enlarged","Clumped","1+","Mild",2,1.09,71,"Crenation","Polychromasia",NA,"4+","1+",NA,"See Comments",NA,NA,"None Observed","Many of the WBCs in this sample are deteriorated due to artifact (aging, temperature, mechanical rupture, etc.) and an accurate WBC morphology could not be obtained. It is recommended to submit 2-3 air dried smears prepared at the time of blood collection."
1986,"precision_3","1986-precision_3-CBC",8,0,0,5.44,1.28,0.72,0.56,0,0,0,0,68,16,9,7,0,0,7.3,17.2,52.8,NA,72.3,23.6,32.6,13.3,NA,15.8,0.56,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.8,58.4,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
